Company Name,Street Address 1,Street Address 2,City,State,Zip Code,Country,Industries,Team Member 1,Team Member 2,Team Member 3,Team Member 4,Team Member 5
1st Signature Lending LLC,"9800 Crosspoint Blvd., 4th Floor, Suite A",,Indianapolis,IN,46256,US,Mortgage Banker,Kurt Menner,,,,
"Pointer Capital, LLC","One Allegheny Square, Suite 500",,Pittsburgh,PA,15212,US,"Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Communications Equipment, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services",Rich DeFelice,,,,
Kynance Equity Partners,"75 E Santa Clara St, Suite 600",1669 Hollenbeck Ave #2-167,San Jose,CA,95113,US,"Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Aerospace & Defense, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Machinery & Equipment, Safety Equipment, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Marine Shipping, Airport Services, Marine Ports & Services, Communications Equipment",Jack Brougham,,,,
"ICO Capital, LLC","3401 N. Center Street, Suite 300",,Lehi,UT,84043,US,,Christian Maynes,John Burton,Jaden Leishman,Spencer Moncur,
Paulson Investment Co.,3 Hamilton Ldg Ste 260,,Novato,CA,94949,US,"Specialized Finance, Asset Management & Custody Banks, Investment Banking & Brokerage, Diversified Banks",Mickey Clark,,,,
Inflight Capital Partners,"12600 Hill Country Boulevard, Suite R-275",,Bee Cave,TX,78738,US,"Third Party Logistics (3PL), Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Communications Equipment",Stacy Racca,Phillip Bannon,James Pribble,,
New South Financial Group,"306 Commercial Drive  , Suite A",,Savannah,GA,31406,US,"Heavy Electrical Equipment, Industrial Machinery & Equipment, Oil & Gas Equipment & Services, Diversified Capital Markets, Life & Health Insurance, Reinsurance, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Health Care Equipment, Computer Storage & Peripherals, Technology Distributors, Application Software, Systems Software, Health Care Technology, Internet Software & Services, Construction Materials, Biotechnology, Pharmaceuticals, Life Sciences Tools & Services",Kenneth Lamantia,Holly Kubicek,,,
"Alidade Capital, LLC",36400 Woodward Avenue Suite 200 ,,Bloomfield Hills,MI,48304,US,,Matt Richter,,,,
Captivate Media Partners,7732 Wolford Way,,Fairfax,VA,22079,US,,Mark Armstrong,,,,
Management Sponsored Transaction,3424 Peachtree Road,,Atlanta,GA,30326,US,"Specialized Finance, Insurance Brokers, Specialized Consumer Services, Specialty Stores",Roger Aaron,,,,
Behrens Investment Group,712 Fifth Avenue,,New York,NY,10019,US,"Third Party Logistics (3PL), Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Communications Equipment",Evan Behrens,Mike Trapanese,,,
"Hammock Park Capital, LLC","2333 Ponce de Leon Blvd, Coral Gables, Florida US",,Miami,FL,33130,US,"Diversified Real Estate Activities, Real Estate Operating Companies, Real Estate Development, Real Estate Services, Real Estate Investment Trusts (REITs), Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Communications Equipment, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Commercial Printing, IT Consulting & Other Services, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Specialized Consumer Services, Alternative Carriers, Integrated Telecommunication Services, Wireless Telecommunication Services, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Auto Parts & Accessories, Tires & Rubber, Biotechnology, Pharmaceuticals, Life Sciences Tools & Services, Nutraceuticals",Philip Russo,,,,
Corsair Capital,"717 5th Avenue, 24th Floor",25 St James’s Street,New York,NY,10022,US,Investment Banking & Brokerage,James Kirk,,,,
"FG1 Partners, LP","5728 LBJ Freeway, Suite 200",,Dallas,TX,75240,US,"Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Communications Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Auto Parts & Accessories, Tires & Rubber, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Household Products, Personal Products",Drew Chambers,Quinn Goldman,Adam DeSilva,,
Rodello Capital,477 Madison Avenue,,New York,NY,10022,US,"Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Apparel Retail, Computer & Electronics Retail, Home Improvement Retail, Specialty Stores, Automotive Retail, Homefurnishing Retail, Drug Retail, Food Retail, Hypermarkets & Super Centers, Retail Distributors, Catalog Retail, Internet Retail, Department Stores, General Merchandise Stores, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Household Products, Personal Products, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Auto Parts & Accessories, Tires & Rubber",Alim Manji,,,,
Circa Health,"641 S St NW, Suite 3036",,Washington,DC,20001,US,"Health Care Technology, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Biotechnology, Pharmaceuticals, Life Sciences Tools & Services, Nutraceuticals",Kush Das,,,,
"KaiKoa, LLC",5,,Saint Louis,MO,63124,US,"Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber",Drew Caylor,,,,
Lloyd Jones LLC,"1001 Brickell Bay Drive, Suite 1504",,Miami,FL,33131,US,"Diversified Real Estate Activities, Real Estate Operating Companies, Real Estate Development, Real Estate Services, Real Estate Investment Trusts (REITs)",Marcio Demelo,Chris Finlay,,,
Gulf Search Capital,111 Veterans Blvd,,Metairie,LA,70005,US,,Patrick Mansfield,,,,
D'Orazio Capital Partners,"190 South LaSalle Street, Suite 3025",,Chicago,IL,60603,US,,R.J. D'Orazio,,,,
Windcrofte Capital,"1230 Peachtree Street N.E., Suite 1900","825C Merrimon Ave, Suite 349, Hegdehaugsveien 31",Atlanta,GA,30309,US,,Christopher Green,,,,
Xteriorize.US - Hosted Workforce Solutions,"6203 San Ignacio Avenue, Suite 110",,San Jose,CA,95119,US,"Other Diversified Financial Services, Multi-Sector Holdings, Specialized Finance, Asset Management & Custody Banks, Investment Banking & Brokerage, Diversified Capital Markets, Credit & Debit Card Issuers, Mortgage Banker, Mortgage Broker, Mortgage Processors & Servicers, Payday Lenders, Payment Processors, Insurance Brokers, Life & Health Insurance, Multi-line Insurance, Property & Casualty Insurance, Reinsurance, Diversified Banks, Regional Banks, Thrifts & S&Ls, Financial Technology, Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Apparel, Accessories & Luxury Goods, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Communications Equipment, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Digital & Social Media, Broadcasting, Cable & Satellite, Movies & Entertainment, Publishing, Advertising, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology",Chad Keiser,,,,
"ARC Industries, Inc.",221 Dalton Avenue,,Charlotte,NC,28206,US,"Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Metal, Glass & Plastic Containers, Paper Packaging, Fertilizers & Agricultural Chemicals, Industrial Gases, Specialty Chemicals, Commodity Chemicals, Diversified Chemicals",Ernest Cutter,,,,
Edgehill Venture Partners,2020 West 89th Street Floor 2,,Leawood,KS,66206,US,"Financial Technology, Research & Consulting Services",Eric Hazen,,,,
Accordant Capital,"1952 McDowell, Suite 300","7845 Inspira Circle, Suite1307",Naperville,IL,60563,US,"Health Care Equipment, Health Care Supplies, Health Care Distributors",George Shanine,,,,
Origami Capital Partners,"191 North Wacker Drive, Suite 2350",,Chicago,IL,60606,US,,Joshua Sacks,Truls Porter,Darren O'Brien,Tom Sutrinaitis,
Megna Fredy Sam Testing,443 Park Avenue South,,New York,NY,10016,US,Advertising,Sam Stinson,,,,
Day4ward Capital,"600 Travis St., Suite 6900",,Houston,TX,77002,US,"Oil & Gas Drilling, Oil & Gas Exploration & Production, Oil & Gas Storage & Transportation",Edward Moses,Marcus Stewart,,,
Stonegate Digital Capital Group,99 Park Ave #1110,,New York,NY,10016,US,Agricultural Products,Jeremy Wallis,,,,
BlackRoth Equity Firm,100 Bayridge Dr,,Harvest,AL,35749,US,"Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Apparel Retail, Computer & Electronics Retail, Home Improvement Retail, Specialty Stores, Automotive Retail, Homefurnishing Retail, Drug Retail, Food Retail, Hypermarkets & Super Centers, Retail Distributors, Catalog Retail, Internet Retail, Department Stores, General Merchandise Stores, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Communications Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Auto Parts & Accessories, Tires & Rubber, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Household Products, Personal Products",Dwight Ellis,,,,
Hawthorne Capital,3400 Peachtree St NE ,,Atlanta,GA,30309,US,"Third Party Logistics (3PL), Food Distributors, Technology Distributors, Trucking, Health Care Distributors, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Data Processing & Outsourced Services, Payment Processors, Office Services & Supplies, Security & Alarm Services, Human Resource & Employment Services, IT Consulting & Other Services, Digital & Social Media, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Retail Distributors, Internet Retail, Pharmaceuticals",Christopher Carter,,,,
Current Yield with Participation Fund,9916 Logan Drive,,Potomac,MD,20854,US,"Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber",David Brink,,,,
Boosted Ecommerce Inc.,"1925 Century Park East, Ste 1700",,Los Angeles,CA,90067,US,"Retail Distributors, Catalog Retail, Internet Retail, Department Stores, General Merchandise Stores, Apparel Retail, Computer & Electronics Retail, Home Improvement Retail, Specialty Stores, Automotive Retail, Homefurnishing Retail, Drug Retail, Food Retail, Hypermarkets & Super Centers",Adam Epstein,Jackson Harrower,Jeff Lowenstein,Jake Barnett,
Minerva Investment Partners,3616 W. Sevilla St.,,Tampa,FL,33629,US,"Aerospace & Defense, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Automobile Manufacturers, Aerospace & Defense, Heavy Electrical Equipment, Industrial Machinery & Equipment, Electronic Manufacturing Services, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Apparel, Accessories & Luxury Goods, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Metal, Glass & Plastic Containers, Safety Equipment, Electrical Components & Equipment, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Application Software, Systems Software, Financial Technology, Health Care Technology, Internet Software & Services, Data Processing & Outsourced Services, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Marine Ports & Services, IT Consulting & Other Services, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Technology, Homefurnishing Retail, Internet Retail, Consumer Electronics, Home Furnishings, Housewares & Specialties, Leisure Products, Apparel, Accessories & Luxury Goods, Household Products, Personal Products, Distillers & Vintners",Jennifer Dowden,Julian Sherr,,,
Michigan Capital Partners,"180 W. Michigan Ave, Ste. 800",,jackson,MI,49201,US,,Anthony Panici,,,,
Ellis Reid LLC,W227X4245 Concord Court,,Waukesha,WI,53189,US,"Aerospace & Defense, Air Freight & Logistics, Railroads, Trucking, Real Estate Operating Companies, Third Party Logistics (3PL), Air Freight & Logistics, Trucking, Aerospace & Defense, Industrial Machinery & Equipment, Apparel, Accessories & Luxury Goods, Personal Products, Paper Packaging, Paper Products, Home Improvement Retail, Department Stores, General Merchandise Stores, Home Furnishings, Household Products, Packaged Foods & Meats",Adrian Davis,,,,
Ben M,100 Main St,,San Francisco,CA,94105,US,"Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Auto Parts & Accessories, Tires & Rubber, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Household Products, Personal Products",Ben M,,,,
Torch Securities llc,"43264 Business Park Dr., Suite 105",,Temecula,CA,92590,US,Investment Banking & Brokerage,Mark Hyman,,,,
Quadrum Global,"261 5th Avenue, Suite 1801",,New York,NY,10016,US,"Diversified Real Estate Activities, Real Estate Operating Companies, Real Estate Development, Real Estate Services, Real Estate Investment Trusts (REITs), Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber",Lorenzo Bello,Jared White,,,
Balsam Bay Partners,160 Madison Ave,2708 NE Waldo Road,New York,NY,10016,US,"Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Communications Equipment",Eric Wang,Jerald Xu,,,
Munro Capital,1140 Centre Road,,Auburn Hills,MI,48326,US,,Jorge Pica,,,,
"Curran Acquisitions, LLC",34 Aunt Hack Rd.,,Danbury,CT,6811,US,"Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services",Kris Curran,,,,
MCAP Advisors,"437 Madison Avenue, Suite 33C",,New York,NY,10022,US,"Other Diversified Financial Services, Diversified Real Estate Activities",Brendan Phelan,,,,
Sakhiwe Capital Partners,"626 Riverside Drive, Suite 18F",,New York,NY,10031,US,Asset Management & Custody Banks,Aubrey Sibanyoni,,,,
