Company Name,Street Address 1,Street Address 2,City,State,Zip Code,Country,Industries,Team Member 1,Team Member 2,Team Member 3,Team Member 4
"Avocet Holdings, LLC","22 Free Street, Suite 200",,Portland,ME,4102,US,Air Freight & Logistics,Drew Gilman,,,
Boring Tech,1510 SW 15th Ave,,Fort Lauderdale,FL,33312,US,"Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments, Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment, Semiconductors, Communications Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Auto Parts & Accessories, Tires & Rubber, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Household Products, Personal Products",Mauricio Pava,Nicolas Ordonez,,
Rhino Ventures LLC,1910 Pacific Ave Ste 2000,6902 Westlake Avenue,Dallas,TX,75201,US,"Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Auto Parts & Accessories, Tires & Rubber, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Household Products, Personal Products, Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors",Leland Manning,,,
Northwoods Partners,"135 East 57th St, Floor 14",,New York,NY,10022,US,"Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Auto Parts & Accessories, Tires & Rubber, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Household Products, Personal Products",Jeffrey Berstein,Jordan Berstein,,
"Meraki Investments, LLC",6233 Howe Dr,,Fairway ,KS,66205,US,"Footwear, Textiles, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Auto Parts & Accessories, Tires & Rubber, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Semiconductors, Packaged Foods & Meats, Tobacco, Household Products, Personal Products, Communications Equipment, Apparel, Accessories & Luxury Goods",D. Marshall Lockton II,,,
Ronin Equity Partners,"400 5th Avenue, Floor 54",,New York,NY,10018,US,"Building Products, Food Distributors, Trading Companies & Distributors, Industrial Machinery & Equipment, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, IT Consulting & Other Services, Auto Parts & Accessories, Home Furnishings, Specialized Consumer Services, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Building Products, Industrial Machinery & Equipment, Personal Products, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Household Products, Personal Products",Elliott Rogasik,Jack Burke,Steve Nemes,David Feierstein
Fernandez Holdings,901 Bringham Ave,,Los Angeles,CA,90049,US,,Jeremy Johnson,,,
"Dunes Point Capital, LLC","411 Theodore Fremd Avenue, Suite 125",,Rye,NY,10580,US,"Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Airport Services, Highways & Railtracks, Marine Ports & Services, Alternative Energy Production, Alternative Energy Distribution, Oil & Gas Equipment & Services, Water Utilities, Oil & Gas Storage & Transportation, Trading Companies & Distributors, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Auto Parts & Accessories, Construction Materials, Metal, Glass & Plastic Containers, Fertilizers & Agricultural Chemicals, Industrial Gases, Specialty Chemicals, Commodity Chemicals, Diversified Chemicals, Homebuilding, Household Appliances, Auto Parts & Accessories",Bill Rosenberg,Matthew Grosmann,Michael Apostolides,Istvan Nadas
Addison Capital Partners,"319 Clematis Street, Suite 211",,West Palm Beach,FL,33401,US,"Pharmaceuticals, Life Sciences Tools & Services, Nutraceuticals, Aerospace & Defense, Construction & Engineering, Industrial Machinery & Equipment, Electronic Manufacturing Services, Health Care Equipment, Electrical Components & Equipment, Electronic Equipment & Instruments, Electronic Components, Fertilizers & Agricultural Chemicals, Industrial Gases, Specialty Chemicals, Diversified Chemicals, Health Care Equipment, Health Care Supplies",Brian Miller,Rupert de Vink,,
Sowell & Co.,"1601 Elm Street, 35th Floor, Thanksgiving Tower",,Dallas,TX,75201,US,"Aerospace & Defense, Building Products, Electrical Components & Equipment, Safety Equipment, Airport Services, Marine Ports & Services, Oil & Gas Exploration & Production, Specialized Finance, Property & Casualty Insurance, Reinsurance, Health Care Distributors, Aerospace & Defense, Electronic Manufacturing Services, Consumer Electronics, Computer Storage & Peripherals, Apparel, Accessories & Luxury Goods, Personal Products, Computer Storage & Peripherals, Electronic Equipment & Instruments, Electronic Components, Electronic Manufacturing Services, Communications Equipment, Application Software, Systems Software, Financial Technology, Health Care Technology, Internet Software & Services, Industrial Gases, Education Services, Digital & Social Media, Advertising, Health Care Services, Health Care Technology, Consumer Electronics, Housewares & Specialties, Leisure Products, Apparel, Accessories & Luxury Goods, Household Products, Personal Products, Packaged Foods & Meats, Nutraceuticals",Alex Allgood,Matt Johnson,David Clark,Will Schramme
Bilgola Capital,9408 Firethorn Court,,Potomac,MD,20854,US,"Third Party Logistics (3PL), Technology Distributors, Communications Equipment, Application Software, Systems Software, Financial Technology, Internet Software & Services, Data Processing & Outsourced Services, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, IT Consulting & Other Services, Leisure Facilities, Specialized Consumer Services",George Ferris,,,
"Hall Capital Holdings, LLC",3003 Palm Harbor Blvd,,Palm Harbor,FL,34683,US,"Specialized Consumer Services, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Apparel Retail, Computer & Electronics Retail, Home Improvement Retail, Specialty Stores, Automotive Retail, Homefurnishing Retail, Drug Retail, Food Retail, Hypermarkets & Super Centers, Retail Distributors, Catalog Retail, Internet Retail, Department Stores, General Merchandise Stores, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Auto Parts & Accessories, Tires & Rubber, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Household Products, Personal Products, Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services",Bill Hood,Matthew Bertoncini,,
Ocho Capital,Austin,,Austin,TX,78701,US,"Third Party Logistics (3PL), Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments, Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment, Semiconductors, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Communications Equipment",Aaron Friedman,,,
First Haven Capital,"500 Fifth Avenue, Suite 1828",,New York,NY,10110,US,"Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments, Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment, Communications Equipment, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Forest Products, Paper Products, Construction Materials, Metal, Glass & Plastic Containers, Paper Packaging, Fertilizers & Agricultural Chemicals, Industrial Gases, Specialty Chemicals, Commodity Chemicals, Diversified Chemicals, Nonmetallic Mineral Mining & Quarrying, Aluminum Products, Metal Ore Mining, Gold Products, Other Metal & Mineral Products, Steel Products, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Alternative Carriers, Integrated Telecommunication Services, Wireless Telecommunication Services, Digital & Social Media, Broadcasting, Cable & Satellite, Movies & Entertainment, Publishing, Advertising, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Household Products, Personal Products, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Auto Parts & Accessories, Tires & Rubber",Aanand Bajaj,Kevin Meyers,Brinda Cherian,
Aeonic Partners,"150 E. 58th Street, 34th Floor",,New York,NY,10155,US,"Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Air Freight & Logistics, Railroads, Airport Services, Highways & Railtracks, Marine Ports & Services, Insurance Brokers, Life & Health Insurance, Multi-line Insurance, Property & Casualty Insurance, Reinsurance, Financial Technology, Food Distributors, Trading Companies & Distributors, Technology Distributors, Health Care Distributors, Retail Distributors, Aerospace & Defense, Building Products, Industrial Machinery & Equipment, Health Care Equipment, Apparel, Accessories & Luxury Goods, Personal Products, Health Care Supplies, Safety Equipment, Application Software, Systems Software, Health Care Technology, Internet Software & Services, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Airport Services, Commercial Printing, IT Consulting & Other Services, Construction Materials, Specialty Chemicals, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Health Care Technology, Heavy Electrical Equipment, Industrial Conglomerates, Aerospace & Defense, Building Products, Construction & Engineering",Brad Resnick,,,
Lang Partners,1501 Dragon Street Suite 102,,Dallas,TX,75207,US,"Third Party Logistics (3PL), Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Airport Services, Highways & Railtracks, Marine Ports & Services, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology",Collin O'Sullivan,Kevin Wong,,
Harrow Capital,"8805 Tamiami Trail, Suite 163",,Naples,FL,34108,US,"Health Care Services, Apparel, Accessories & Luxury Goods, Safety Equipment, Specialized Consumer Services",Charles Widmer,Zach Kreider,,
AFM Capital Partners,2733 E. Main St.,,Plainfield,IN,46168,US,"Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Apparel Retail, Computer & Electronics Retail, Home Improvement Retail, Specialty Stores, Automotive Retail, Homefurnishing Retail, Drug Retail, Food Retail, Hypermarkets & Super Centers, Retail Distributors, Catalog Retail, Internet Retail, Department Stores, General Merchandise Stores, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments, Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment, Semiconductors, Communications Equipment, Auto Parts & Accessories, Tires & Rubber, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Household Products, Personal Products",Mark McTigue,,,
Hillandale Advisors,East Blvd,,Charlotte,NC,28203,US,"Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments, Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment, Semiconductors, Communications Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Auto Parts & Accessories, Tires & Rubber, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Household Products, Personal Products",Preston Harris,Matt Hultquist,Luke Kaiser,J.P. Iaropoli
