Company Name,Street Address 1,Street Address 2,City,State,Zip Code,Country,Industries,Team Member 1,Team Member 2,Team Member 3,Team Member 4
Excellere Partners,"3033 E 1st Avenue, Suite 700",,Denver,CO,80206,US,"Fertilizers & Agricultural Chemicals, Specialty Chemicals, Health Care Technology, Data Processing & Outsourced Services, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Human Resource & Employment Services, Research & Consulting Services, IT Consulting & Other Services, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Health Care Supplies, Pharmaceuticals, Life Sciences Tools & Services, Agricultural Products",Mark Babineau,Patrick O'Keefe,Eric Mattson,Ross Gundry
Serent Capital,"Three Embarcadero Center, Suite 410","515 Congress Avenue, Suite 1410",San Francisco,CA,94111,US,"Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Trucking, Highways & Railtracks, Oil & Gas Drilling, Oil & Gas Equipment & Services, Electric Utilities, Gas Utilities, Multi-Utilities, Oil & Gas Storage & Transportation, Specialized Finance, Mortgage Processors & Servicers, Payment Processors, Insurance Brokers, Property & Casualty Insurance, Financial Technology, Real Estate Services, Third Party Logistics (3PL), Trading Companies & Distributors, Technology Distributors, Trucking, Automobile Manufacturers, Aerospace & Defense, Building Products, Construction & Farm Machinery & Heavy Trucks, Construction Materials, Auto Parts & Accessories, Forest Products, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Data Processing & Outsourced Services, Advertising, Environmental & Facilities Services, Human Resource & Employment Services, Construction Materials, Digital & Social Media, Advertising, Health Care Services, Managed Health Care, Health Care Technology",Sean Hartman,Pallavi Thatai,Andrew Peix,Daniel Tan
Slack Water Capital,3 Emerald Drive,,Key West,FL,33040,US,"Third Party Logistics (3PL), Airport Services, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Auto Parts & Accessories, Tires & Rubber, Marine Ports & Services, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Household Products, Personal Products, Highways & Railtracks",Ben Bortner,,,
GreyLion,"900 Third Avenue, 23rd Floor",,New York,NY,10022,US,"Airlines, Railroads, Highways & Railtracks, Oil & Gas Equipment & Services, Mortgage Processors & Servicers, Insurance Brokers, Real Estate Services, Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Automobile Manufacturers, Motorcycle Manufacturers, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Computer Storage & Peripherals, Office Electronics, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Forest Products, Electronic Equipment & Instruments , Electronic Components, Application Software, Systems Software, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Safety Equipment, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Fertilizers & Agricultural Chemicals, Industrial Gases, Specialty Chemicals, Commodity Chemicals, Diversified Chemicals, Aluminum Products, Steel Products, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Alternative Carriers, Digital & Social Media, Cable & Satellite, Health Care Services, Health Care Facilities, Apparel Retail, Computer & Electronics Retail, Home Improvement Retail, Specialty Stores, Automotive Retail, Homefurnishing Retail, Drug Retail, Food Retail, Hypermarkets & Super Centers, Catalog Retail, Internet Retail, Department Stores, General Merchandise Stores, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Household Products, Personal Products, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Auto Parts & Accessories, Tires & Rubber",Ryan Anderson,Sean Gormley,John McKee,Dustin Price
Signal Hill Equity Partners,"2 Carlton Street, Suite 1700",,Toronto,ON,M5B 1J3,CA,"Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Trucking, Airport Services, Marine Ports & Services, Oil & Gas Equipment & Services, Oil & Gas Storage & Transportation, Other Diversified Financial Services, Specialized Finance, Payment Processors, Insurance Brokers, Real Estate Services, Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Communications Equipment, Financial Technology, Health Care Technology, Internet Software & Services, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Construction Materials, Metal, Glass & Plastic Containers, Paper Packaging, Fertilizers & Agricultural Chemicals, Industrial Gases, Specialty Chemicals, Commodity Chemicals, Diversified Chemicals, Steel Products, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Integrated Telecommunication Services, Wireless Telecommunication Services, Advertising, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Apparel Retail, Computer & Electronics Retail, Home Improvement Retail, Specialty Stores, Automotive Retail, Homefurnishing Retail, Drug Retail, Food Retail, Hypermarkets & Super Centers, Retail Distributors, Catalog Retail, Internet Retail, Department Stores, General Merchandise Stores, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Household Products, Personal Products, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Auto Parts & Accessories, Tires & Rubber, Life Sciences Tools & Services, Nutraceuticals",Victor Pang,Jason Carbell,Peter Sun,Stuart Johnson
Blue Sage Capital,"2700 Via Fortuna, Suite 300",,Austin,TX,78746,US,"Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Automobile Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Health Care Equipment, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Data Processing & Outsourced Services, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Forest Products, Paper Products, Metal, Glass & Plastic Containers, Paper Packaging, Fertilizers & Agricultural Chemicals, Industrial Gases, Specialty Chemicals, Diversified Chemicals",Anton Cordes,Gloria Markova,Austin Prentice,Erica Holland
Hanover Partners,333 Bush St Ste 2100,201 B Avenue Ste 270,San Francisco,CA,94104,US,"Application Software, Systems Software, Internet Software & Services, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Electrical Components & Equipment, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Communications Equipment, Automobile Manufacturers, Health Care Equipment, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Health Care Technology, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Life Sciences Tools & Services",Aaron Aiken,Vineet Varma,,
ZS Fund,"630 Fifth Avenue, , Suite 1915",,New York,NY,10111,US,"Construction & Engineering, Electrical Components & Equipment, Industrial Conglomerates, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Trucking, Oil & Gas Equipment & Services, Payment Processors, Insurance Brokers, Real Estate Services, Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Trucking, Health Care Distributors, Retail Distributors, Industrial Machinery & Equipment, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Technology Distributors, Data Processing & Outsourced Services, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Marine Ports & Services, IT Consulting & Other Services, Education Services, Specialized Consumer Services, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Technology, Apparel Retail, Specialty Stores, Retail Distributors, Internet Retail, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Household Products, Personal Products, Agricultural Products, Packaged Foods & Meats, Auto Parts & Accessories, Nutraceuticals",Shahzad Pirvani,Dave Affinito,Aaron Smith,Adam Lehrhoff
RedCloud Capital,"1225 17th Street, Suite 502",,Denver,CO,80202,US,"Building Products, Construction & Engineering, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Data Processing & Outsourced Services, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Specialized Consumer Services, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Household Products, Personal Products, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Auto Parts & Accessories",Rob Kufel,Josh Sartisky,Blair Jeralds,Jacob Mattern
Northrim Horizon,"4510 E Banner Gateway Dr, Suite 1106",,Mesa,AZ,85206,US,"Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Trading Companies & Distributors, Air Freight & Logistics, Safety Equipment, Trucking, Health Care Distributors, Retail Distributors, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Data Processing & Outsourced Services, Electronic Components, Electronic Manufacturing Services, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Semiconductors, Airport Services, Airport Services, Highways & Railtracks, IT Consulting & Other Services, Leisure Facilities, Education Services, Specialized Consumer Services, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Managed Health Care, Home Improvement Retail, Specialty Stores, Drug Retail, Food Retail, Technology Distributors, General Merchandise Stores, Semiconductor Equipment , Communications Equipment",Tyler Duke,Adam Moesel,Danny Payne,Justin Garner
The Pine Street Group,"4200 Sepulveda Blvd, 101",,Culver City,CA,90230,US,"Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Financial Technology, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Diversified Banks, Regional Banks, Thrifts & S&Ls, Other Diversified Financial Services, Multi-Sector Holdings, Specialized Finance, Asset Management & Custody Banks, Investment Banking & Brokerage, Diversified Capital Markets, Credit & Debit Card Issuers, Mortgage Banker, Mortgage Broker, Mortgage Processors & Servicers, Payday Lenders, Payment Processors, Third Party Logistics (3PL), Insurance Brokers, Life & Health Insurance, Multi-line Insurance, Property & Casualty Insurance, Reinsurance, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Airport Services, Highways & Railtracks, Marine Ports & Services, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies",Michael Davidov,Jonathan Sassover,,
Assurance Capital LLC,"1000 Legion Place, #840",,Orlando,FL,32801,US,Health Care Equipment,Richard Buckanavage,David Ellis,,
Software Growth Partners,751 Laurel St,,San Carlos,CA,94070,US,Internet Software & Services,Aniket Kumar,Zach Stegenga,Sreenath Sajeev,Shashank Pimpale
The Brydon Group,"2000 Pennsylvania Avenue, NW, Suite 4006",,Washington,DC,20006,US,"Third Party Logistics (3PL), Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Communications Equipment",Dudley Arbaugh,Steve Ressler,,
Potomac Equity Partners,"5111 Yuma Place NW, Suite 200",,Washington,DC,20016,US,"Payment Processors, Financial Technology, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Communications Equipment, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, IT Consulting & Other Services, Wireless Telecommunication Services, Digital & Social Media, Publishing, Health Care Supplies, Health Care Services, Health Care Facilities, Health Care Technology",John Bates,David Silberstein,Pascal Denis,Chris Blythe
