Part-No,Product,Sub-Title,Photo,Applications,M8/M12 Application,Orientation,No. of Pins,Termination,o-ring,Current Rating,Air- and creepage distance,Gender,Coding,Mating Cycles,Standard,Assembly Height,Max Operating Temp,Configuration,Packaging,Cable Type,Connector left,Connector right,Shield,Anti Twist Protection,Loaded Pins,Material,Color,Data Rate,Transmission Category,Drawing PDF,Drawing DXF,Model 3D,Catalog,Product URL
Part-No. 284074-E,M8 Metall Shell,for M8 male connectors,https://www.erni.com/fileadmin/_processed_/3/2/csm_IM0011723_fbebe68060.png,"I/O Connectors, ,",M8 Accessoires,,,,,,0 mm,Male,,100,IEC 61076-2-104,13 mm,,Metal shell for M8 male connectors,Bulk,,,,,,,CuZn nickel plated,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005833.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005840.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000686.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/284074
Part-No. 223711-E,M8 Cable Assembly,"3-pin, A-coding",https://www.erni.com/fileadmin/_processed_/1/5/csm_IM0011700_731accf703.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,3,,,4 A,,Female,A,,IEC 61076-2-104,,80 °C,,,PUR,Female Angled,None,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005862.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005863.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000688.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223711
Part-No. 223778-E,M8 Cable Assembly,"3-pin, A-coding",https://www.erni.com/fileadmin/_processed_/e/8/csm_IM0011705_9248412265.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,3,,,4 A,,Male/Female,A,,IEC 61076-2-104,,80 °C,,,PUR,Male Straight,Female Angled,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005868.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005869.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000703.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223778
Part-No. 223774-E,M8 Cable Assembly,"3-pin, A-coding",https://www.erni.com/fileadmin/_processed_/c/c/csm_IM0011704_a9684e89c4.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,3,,,4 A,,Male/Female,A,,IEC 61076-2-104,,80 °C,,,PUR,Male Straight,Female Straight,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005866.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005867.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000701.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223774
Part-No. 223775-E,M8 Cable Assembly,"3-pin, A-coding",https://www.erni.com/fileadmin/_processed_/e/8/csm_IM0011705_9248412265.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,3,,,4 A,,Male/Female,A,,IEC 61076-2-104,,70 °C,,,PVC,Male Straight,Female Angled,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005868.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005869.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000703.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223775
Part-No. 223712-E,M8 Cable Assembly,"3-pin, A-coding",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,3,,,4 A,,Male/Female,A,,IEC 61076-2-104,,80 °C,,,PUR,Male Straight,"Female angled, with LED",,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0009157.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0009156.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000708.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223712
Part-No. 223780-E,M8 Cable Assembly,"3-pin, A-coding",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,3,,,4 A,,Male/Female,A,,IEC 61076-2-104,,70 °C,,,PVC,Male Straight,"Female angled, with LED",,,,,,,,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0009158.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000708.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223780
Part-No. 223933-E,M8 Cable Assembly,"4-pin, A-coding",https://www.erni.com/fileadmin/_processed_/0/3/csm_IM0011708_afceb8e4e4.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,4,,,4 A,,Female,A,,IEC 61076-2-104,,70 °C,,,PVC,Female Straight,None,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005860.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005861.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000695.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223933
Part-No. 223770-E,M8 Cable Assembly,"3-pin, A-coding",https://www.erni.com/fileadmin/_processed_/1/5/csm_IM0011700_731accf703.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,3,,,4 A,,Female,A,,IEC 61076-2-104,,70 °C,,,PVC,Female Angled,None,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005862.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005863.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000688.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223770
Part-No. 223768-E,M8 Cable Assembly,"3-pin, A-coding",https://www.erni.com/fileadmin/_processed_/1/5/csm_IM0011700_731accf703.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,3,,,4 A,,Female,A,,IEC 61076-2-104,,80 °C,,,PUR,Female Angled,None,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005858.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005859.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000694.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223768
Part-No. 223773-E,M8 Cable Assembly,"3-pin, A-coding",https://www.erni.com/fileadmin/_processed_/c/c/csm_IM0011704_a9684e89c4.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,3,,,4 A,,Male/Female,A,,IEC 61076-2-104,,70 °C,,,PVC,Male Straight,Female Straight,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005866.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005867.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000701.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223773
Part-No. 223710-E,M8 Cable Assembly,"3-pin, A-coding",https://www.erni.com/fileadmin/_processed_/3/e/csm_IM0011699_a84e38f450.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,3,,,4 A,,Male,A,,IEC 61076-2-104,,80 °C,,,PUR,Male Straight,None,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005848.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0007917.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000687.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223710
Part-No. 223766-E,M8 Cable Assembly,"3-pin, A-coding",https://www.erni.com/fileadmin/_processed_/1/5/csm_IM0011700_731accf703.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,3,,,4 A,,Female,A,,IEC 61076-2-104,,70 °C,,,PVC,Female Angled,None,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005858.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005859.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000694.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223766
Part-No. 223763-E,M8 Cable Assembly,"4-pin, A-coding",https://www.erni.com/fileadmin/_processed_/9/7/csm_IM0011701_4c4be23e67.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,4,,,4 A,,Male/Female,A,,IEC 61076-2-104,,80 °C,,,PUR,Male Straight,Female Angled,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005852.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005853.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000691.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223763
Part-No. 223767-E,M8 Cable Assembly,"4-pin, A-coding",https://www.erni.com/fileadmin/_processed_/0/3/csm_IM0011708_afceb8e4e4.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,4,,,4 A,,Female,A,,IEC 61076-2-104,,70 °C,,,PVC,Female Straight,None,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005860.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005861.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000695.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223767
Part-No. 223777-E,M8 Cable Assembly,"4-pin, A-coding",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,4,,,4 A,,Male/Female,A,,IEC 61076-2-104,,80 °C,,,PUR,Male Straight,Female Straight,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005870.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005871.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000704.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223777
Part-No. 254760-E,M8 Quick Termination Female,"3-pin, A-coding, IDC",https://www.erni.com/fileadmin/_processed_/0/d/csm_IM0011719_2761631b34.png,"I/O Connectors, Cable Connectors,",M8 Cable Connectors,,3,IDC,,4 A,,Female,A,,IEC 61076-2-104,,85 °C,"M8, female",Bag 1 pcs,,,,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0010542.PDF,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0000711.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/254760
Part-No. 223779-E,M8 Cable Assembly,"4-pin, A-coding",https://www.erni.com/fileadmin/_processed_/9/7/csm_IM0011701_4c4be23e67.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,4,,,4 A,,Male/Female,A,,IEC 61076-2-104,,70 °C,,,PVC,Male Straight,Female Angled,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005852.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005853.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000691.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223779
Part-No. 223776-E,M8 Cable Assembly,"4-pin, A-coding",https://www.erni.com/fileadmin/_processed_/6/a/csm_IM0011707_31ef341a3f.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,4,,,4 A,,Male/Female,A,,IEC 61076-2-104,,70 °C,,,PVC,Male Straight,Female Straight,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005870.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005871.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000704.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223776
Part-No. 225103-E,M8 Cable Assembly,"4-pin, A-coding",https://www.erni.com/fileadmin/_processed_/d/5/csm_IM0011713_7b4b01b612.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,4,,,4 A,,Male,A,,IEC 61076-2-104,,80 °C,,,PUR,Male Straight,None,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005850.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005851.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000690.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/225103
