Shop_Name,Street_Address,City,State,Zipcode,Landline,Facsimile,Latitude,Longitude
Speedway Body Shop,2534 W. 16th Street,Indianapolis,IN,46222,317-635-3764,317-634-4942,39.78798948300005,-86.20374094499994
Caliber - Beech Grove,4002 S Arlington Ave,Indianapolis,IN,46203,317-787-8366,317-782-2491,39.70910674900006,-86.06361723699996
"S & S Paint and Body, Inc.",2051 Ireland Grove Road,Bloomington,IL,61704,309-662-5241,309-662-7045,40.459003016000054,-88.96280800399995
Gerber Collision & Glass - Peoria,8018 N Universtiy Street,Peoria,IL,61615,309-692-5102,309-692-5122,40.78551,-89.62143
CARSTAR Maryville,1 Mueller Drive,Maryville,IL,62062,618-345-4519,618-344-9266,38.73092954300006,-89.95798375099997
Car Craft - Bridgeton,11537 St. Charles Rock Road,Bridgeton,MO,63044,314-291-2356,314-291-7029,38.74248,-90.4085
"Troy Waller Auto Body, Inc.",508 South 32nd Street,Fort Dodge,IA,50501,515-955-3365,515-955-6608,42.50127,-94.14969
ABRA Auto Body & Glass - Hiawatha,770 Boyson Rd.,Hiawatha,IA,52233,319-378-0441,319-378-0432,42.0478,-91.68073
Abra Auto Body and Glass,1420 Willow Creek Ct.,Iowa City,IA,52246,319-354-4554,319-354-9536,41.64084,-91.56047
B Street Collision Center -,2340 Paul Street,Omaha,NE,68102,402-344-4471,402-346-1477,41.27201049400003,-95.94656099999997
Offutt Collision Repair,10106 South 15th Street,Bellevue,NE,68123,402-291-5599,402-291-9351,41.15986,-95.93546
CARSTAR of Lawrence,800 E. 23rd St,Lawrence,KS,66046,785-841-3672,785-841-3999,38.94275,-95.22473
CARSTAR Ottawa,402 N. Main Street,Ottawa,KS,66067,785-242-8916,785-242-6262,38.62201,-95.26788
Caliber - Annapolis,185B Defense Hwy,Annapolis,MD,21401,410-266-8266,410-266-8444,38.98579007600006,-76.56072732299998
BMW of Annapolis,"31 Old Mill Bottom Road, N",Annapolis,MD,21401,410-349-2509,410-349-0709,39.02346889800003,-76.47759747299995
Superior Auto Body,758 MD Route 3 North,Gambrills,MD,21054,410-923-0505,410-923-1125,39.04848097100006,-76.66280806299994
Caliber - St. Paul - Midway,1190 University Avenue,St. Paul,MN,55104,651-645-1563,651-641-6129,44.95500399500003,-93.15038696499994
Heppner's Auto Body - Midway,400 Syndicate St. N,St. Paul,MN,55104,651-646-8615,651-645-3230,44.95319,-93.15423
Lamettry's Collision Inc,4700 South Robert Trail,Inver Grove Heights,MN,55077,651-286-3921,651-286-3926,44.88104790700004,-93.07931001899999
Caliber - Roseville MN,1914 W. County Road C,Roseville,MN,55113,651-639-9848,651-639-9406,45.02041301500003,-93.18101997199994
Heppner's Auto Body - St.Paul,395 East Seventh St.,St. Paul,MN,55101,651-224-5644,651-224-6042,44.96673,-92.9956
Heppner's Auto Body,6042 Claude Way East,Inver Grove Heights,MN,55076,651-455-7920,651-455-0140,44.86112,-93.03782
Clinton Body Shop Inc,1115 Monroe Street,Clinton,MS,39056,601-924-2159,601-924-2170,32.35057301000006,-90.32975199199996
Gerber Champs Collision Ct - Hammond,500 South Morrison Blvd,Hammond,LA,70403,985-543-0059,985-429-1730,30.49529,-90.48276
Gerber Collision & Glass - Mandeville,2501 Florida Street,Mandeville,LA,70809,985-624-8422,985-624-8744,30.36761,-90.06966
"Rick's Auto Body, Inc.",2008 W Broadway,Missoula,MT,59801,406-549-5400,406-549-3009,46.85629,-114.01111
Gerber Collision & Glass-Coeur d'Alene,2414 N. 4th Street,Coeur d'Alene,ID,83814,208-765-6742,208-765-2816,47.69946,-116.78078
ABRA Auto Body & Glass - Post Falls,1900 E. Polston Avenue,Post Falls,ID,83854,208-773-9782,208-667-4501,47.71442,-116.91743
AutoNation Collision Center Spokane,10000 E Sprague Avenue,Spokane Valley,WA,99206,509-927-1284,509-924-7342,47.655925987000046,-117.27111101999998
Gerber Collision & Glass - Spokane,1627 E. Francis Avenue,Spokane,WA,99208,509-483-4113,509-483-9429,47.71502,-117.38566
Caliber - El Dorado Hills - Post St,4624 Post St,El Dorado Hills,CA,95762,916-941-1933,916-941-8382,38.64844801772773,-121.06788902593206
Caliber - Folsom,1128 H Sibley Street,Folsom,CA,95630,916-985-6002,916-985-7453,38.66212062009714,-121.17198438438214
Caliber - Folsom Lake,300 Auto Plaza Drive,Folsom,CA,95630,916-353-2060,916-351-1923,38.65621565824699,-121.17828909230428
Caliber - Roseville - Taylor Rd,2018 Taylor Rd,Roseville,CA,95678,916-781-3242,916-781-3830,38.7683270027714,-121.25405604078156
Glenn's Body Shop Inc,2051 K Street,Lincoln,NE,68510,402-475-8441,402-475-8464,40.80913,-96.69084
"B Street Collision Center Chalco, Inc.",11123 Sapp Bros Drive,Omaha,NE,68138,402-316-4647,402-505-7305,41.18133300000005,-96.15072969999994
"Dingmans Collision Center Inc,",3510 S. 144th Street,Omaha,NE,68144,402-502-8757,402-502-5772,41.22370869200006,-96.13906645899999
B Street Collision Center,13222 F Street,Omaha,NE,68137,402-333-9872,402-333-6633,41.21959739600004,-96.12088753299997
Loid's Collision Center,5401 San Diego Avenue NE,Albuquerque,NM,87113,505-345-5643,505-344-5643,35.19322329400006,-106.58428024099999
Reliable Chevrolet,9901 Coors Blvd NW,Albuquerque,NM,87114,505-897-6000,505-338-5980,35.19303550400008,-106.65677304799999
Abra Auto Body & Glass - Durango,1200 Carbon Junction,Durango,CO,81301,970-385-8244,970-403-1159,37.22982,-107.86041
ABRA - Bismarck,1901 E Bismarck Expressway,Bismarck,ND,58504,701-255-2272,701-255-1787,46.79465,-100.76206
B & D's Threefold Collision Center LLC,1615 S. Hampton,Del City,OK,73115,405-670-5050,405-619-7650,35.44906416200007,-97.45200368499997
CARSTAR ColorMagic Collision LLC,1355 West Mound Street,Columbus,OH,43223,614-280-1599,614-280-1694,39.94593,-83.03503
Gerber Collision & Glass - Grove City,3965 Brookham Drive,Grove City,OH,43123,614-594-5210,614-594-5211,39.88103,-83.04989
Service King Columbus #149,3360 Morse Road,Columbus,OH,43231,614-476-9550,614-476-9525,40.05846,-82.92924
Gerber Collision & Glass - Dublin,5820 Shier Rings Road,Dublin,OH,43016,614-766-0900,614-766-2409,40.09652,-83.14635
Gerber Collision & Glass - Powell,394 W. Olentangy ST,Powell,OH,43065,614-889-6222,614-889-6609,40.15837,-83.08652
Caliber - Fort Mill,2540 Highway 160W,Fort Mill,SC,29708,803-802-7005,803-802-7028,35.05082398888237,-80.99122103349816
Caliber  - Salem OR - North,2475 Commercial Street NE,Salem,OR,97303,503-480-1159,503-480-1158,44.96411076512379,-123.03313368141329
Caliber  - Salem OR - South,1345 Lewis Street SE,Salem,OR,97302,503-378-1159,503-581-1271,44.92319400000008,-123.02840699999996
Caliber - Keizer,5350 River Road N.,Keizer,OR,97303,503-636-1159,503-697-8941,45.002196000000026,-123.02617499999997
CARSTAR Fred Beans - Mechanicsburg,6302 Carlisle Pike,Mechanicsburg,PA,17050,717-775-3070,717-795-0557,40.24591,-77.00012
Dutch Valley Auto Works,3331 Columbia Avenue,Lancaster,PA,17603,717-394-6278,717-394-6651,40.03912,-76.3994
Faulkner Collision Center of Lancaster,1350 Loop Rd,Lancaster,PA,17601,717-293-7800,717-509-7166,40.06670014600007,-76.32864239399998
Caliber - Westminster,1110 Baltimore Blvd,Westminster,MD,21157,410-876-0678,410-876-1660,39.55434701400003,-76.95640804099997
Tom Masano Collision,420 Gregg Avenue,Reading,PA,19611,610-375-9991,610-375-9977,40.32108515600004,-75.93648345299994
ABRA Auto Body & Glass - Aberdeen,601 Auto Plaza,Aberdeen,SD,57401,605-229-5272,605-225-3100,45.47038,-98.49909
J & J Truck and Auto Body,1513 E Philadelphia St,Rapid City,SD,57703,605-348-6802,605-348-7668,44.08572752100008,-103.18958983199997
ABRA Auto Body & Glass - Rapid City,350 N Lacrosse St,Rapid City,SD,57701,605-348-0026,605-342-9274,44.08529,-103.20172
Service King - Downtown Nashville,200 Main Street,Nashville,TN,37213,615-726-3220,615-726-2484,36.17072,-86.77056
Caliber - South Lamar,1804 South Lamar Blvd,Austin,TX,78704,512-444-6411,512-444-4684,30.25023600600008,-97.76705499599996
Whitakers Auto Body & Paint - Austin,2019 S. Lamar Blvd.,Austin,TX,78704,512-442-2235,512-442-2247,30.248912623000024,-97.76816038799996
Caliber - Metric Blvd,10420 Metric Blvd,Austin,TX,78758,512-233-0460,512-233-0467,30.38409701100005,-97.71473800699994
Caliber - Austin - Braker Lane,109 East Braker Lane,Austin,TX,78753,512-836-3970,512-836-2490,30.37835301800004,-97.68070496499996
Caliber - Austin - Onion Creek,11210 S IH-35,Austin,TX,78748,512-465-2557,512-465-2592,30.139304942000024,-97.79678955199995
"Classic Collision Manchaca South,",11740 Manchaca Road,Austin,TX,78748,512-292-1060,512-292-1059,30.148227220000024,-97.83317180099999
Terex Auto Body,1600 Howard Lane,Austin,TX,78728,512-250-9316,512-450-1320,30.42708,-97.67692
Caliber - Austin - McNeil Dr,6819 McNeil Dr,Austin,TX,78729,512-331-9398,512-331-9399,30.437228009000023,-97.75920802599995
Heritage Body and Frame,12952 Pond Springs Road,Austin,TX,78729,512-331-1399,512-833-0027,30.438899402711115,-97.7726835281461
Gerber Collision & Glass - Grove City,3965 Brookham Drive,Grove City,OH,43123,614-594-5210,614-594-5211,39.88103,-83.04989
CARSTAR ColorMagic Collision LLC,1355 West Mound Street,Columbus,OH,43223,614-280-1599,614-280-1694,39.94593,-83.03503
Service King Columbus #149,3360 Morse Road,Columbus,OH,43231,614-476-9550,614-476-9525,40.05846,-82.92924
Gerber Collision & Glass - Wilmington,1850 Rombach Ave,Wilmington,OH,45177,937-655-8285,613-382-1250,39.45075,-83.79656
Gerber Collision & Glass - Dublin,5820 Shier Rings Road,Dublin,OH,43016,614-766-0900,614-766-2409,40.09652,-83.14635
Gates Auto Body - West Madison,202 W. Beltline Highway,Madison,WI,53713,608-251-5910,608-251-5982,43.04183199677698,-89.38002796349116
Zimbrick Body Shop,1707 N. Stoughton Rd.,Madison,WI,53704,608-443-5770,608-241-4931,43.121347005000075,-89.32344198699997
Ball Body Shop,5901 Odana Road,Madison,WI,53719,608-831-5944,608-831-9169,43.05182091300003,-89.48235550099997
Caliber - Madison - West Towne,6505 Odana Road,Madison,WI,53719,608-278-0123,608-278-0321,43.055000534000044,-89.49184199999996
Gerber Collision & Glass -,5317 Wayne Terrace,Madison,WI,53718,608-249-7032,608-249-8273,43.13965342400007,-89.29219360699994
Caliber  - Madison - East Towne,3602 Cross Hill Drive,Madison,WI,53718,608-243-7778,608-241-4668,43.14238216000007,-89.28368755099996
Gerber Collision & Glass -,3447 Tribeca Drive,Middleton,WI,53562,608-831-3001,608-836-3006,43.11224095700004,-89.51442679199994
Gerber Collision & Glass -,339 S Walker Way,Sun Prairie,WI,53590,608-837-7223,608-837-3585,43.177679246000025,-89.23661328699995
CARSTAR Premier Collision Olympia,2720 Martin Way E,Olympia,WA,98506,360-754-3893,360-943-4904,47.04608,-122.86273
Gerber Collision & Glass -,512 Devoe Street SE,Olympia,WA,98501,360-956-3707,360-352-6345,47.04486286400004,-122.86070120999995
Caliber - Yelm,9015 350th St S,Mckenna,WA,98558,360-400-8000,360-400-8005,46.93941633700007,-122.55084562099995
Caliber - Lakewood WA,12424 Pacific Hwy SW,Lakewood,WA,98499,253-584-1922,253-582-6208,47.14420951400007,-122.51313602299996
Gig Harbor Auto Body,5715 34th Ave NW,Gig Harbor,WA,98335,253-851-1908,253-858-9034,47.31037447700004,-122.58433149099994
CARSTAR Fort Collins North,1833 East Mulberry Street,Ft. Collins,CO,80524,970-498-9201,970-498-9207,40.58019301400003,-105.04312597499995
ABRA Auto Body & Glass - Greeley,2835 S. 31st Avenue,Greeley,CO,80631,970-352-1316,970-352-2054,40.3916,-104.72814
Caliber - Loveland - Topaz Dr,1805 Topaz Dr,Loveland,CO,80537,970-669-2207,970-669-0828,40.40693400400005,-105.05084897599994
Caliber - Longmont - Boston Ave,1840 Boston Avenue,Longmont,CO,80501,303-485-9412,303-485-9423,40.15929398600008,-105.12572200299996
Caliber - Boulder - Sterling Dr,4725 Sterling Drive,Boulder,CO,80301,303-443-8889,303-449-3541,40.02771499600004,-105.24359100699996
Caliber - Crystal City,3406 Jefferson Davis Highway,Alexandria,VA,22305,703-684-2985,703-549-2658,38.851110318546205,-77.05271916918747
