Event,Fight,Bet,BetOnline,BetOnline Move,Bovada,Bovada Move,Pinnacle,Pinnacle Move,Betway,Betway Move,MyBookie,MyBookie Move,BetUS,BetUS Move,SXBet,SXBet Move,Jazz,Jazz Move,Cloudbet,Cloudbet Move,Unibet,Unibet Move,DraftKings,DraftKings Move,FanDuel,FanDuel Move,BetAnySports,BetAnySports Move
UFC Fight Night 240: Allen vs. Curtis 2,"Josh Van , Lucas Rocha",Lucas Rocha,285,0,260,-1,,,,,,,,,,,,,,,275,0,275,0,260,-1,,
UFC Fight Night 240: Allen vs. Curtis 2,"Melissa Dixon , Nora Cornolle",Melissa Dixon,-255,0,,,-253,0,,,-280,0,-255,0,,,,,-245,0,-265,0,-250,0,-265,1,,
UFC Fight Night 240: Allen vs. Curtis 2,"Melissa Dixon , Nora Cornolle",Nora Cornolle,215,0,,,210,0,,,190,0,205,0,,,,,213,0,205,0,205,0,200,-1,,
UFC Fight Night 240: Allen vs. Curtis 2,"Ignacio Bahamondes , Christos Giagos",Ignacio Bahamondes,-325,-1,-300,-1,,,-275,0,-325,0,-325,-1,,,,,,,-305,0,-298,0,-330,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Ignacio Bahamondes , Christos Giagos",Christos Giagos,275,1,240,1,,,200,0,210,0,235,1,,,,,,,240,0,240,0,240,0,,
ACA 173: Frolov vs. Yankovsky,"Denis Smoldarev , Arash Sadeghi",Denis Smoldarev,,,-175,-1,,,,,,,,,,,,,,,,,,,,,,
ACA 173: Frolov vs. Yankovsky,"Denis Smoldarev , Arash Sadeghi",Arash Sadeghi,,,135,1,,,,,,,,,,,,,,,,,,,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Kaytlin Neil , Sumiko Inaba",Kaytlin Neil,195,1,190,1,,,175,1,,,,,,,,,,,,,200,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Kaytlin Neil , Sumiko Inaba",Sumiko Inaba,-245,-1,-260,-1,,,-250,-1,,,,,,,,,,,,,-245,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Chelsea Hackett , Jena Bishop",Chelsea Hackett,220,1,220,1,,,200,0,,,,,,,,,,,,,220,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Chelsea Hackett , Jena Bishop",Jena Bishop,-280,-1,-300,-1,,,-275,0,,,,,,,,,,,,,-270,0,,,,
UFC Fight Night 240: Allen vs. Curtis 2,"Lukasz Brzeski , Valter Walker",Lukasz Brzeski,350,1,,,,,275,0,275,0,325,1,,,,,,,295,0,295,0,285,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Lukasz Brzeski , Valter Walker",Valter Walker,-450,-1,,,,,-400,0,-425,0,-450,-1,,,,,,,-385,0,-375,0,-400,0,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Lucas Brennan , Dimitre Ivy",Lucas Brennan,-900,-1,-900,-1,,,-800,-1,,,,,,,,,,,,,-800,-1,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Lucas Brennan , Dimitre Ivy",Dimitre Ivy,600,1,500,1,,,450,1,,,,,,,,,,,,,550,1,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Jordan Heiderman , Marcelo Golm",Jordan Heiderman,300,1,280,1,,,275,0,,,,,,,,,,,,,310,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Jordan Heiderman , Marcelo Golm",Marcelo Golm,-400,-1,-425,0,,,-400,0,,,,,,,,,,,,,-395,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Kana Watanabe , Shanna Young",Kana Watanabe,-400,1,-425,0,,,-400,0,,,,,,,,,,,,,-425,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Kana Watanabe , Shanna Young",Shanna Young,300,-1,280,1,,,275,0,,,,,,,,,,,,,330,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Steve Mowry , Oleg Popov",Steve Mowry,115,-1,115,-1,,,110,0,,,,,,,,,,,,,120,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Steve Mowry , Oleg Popov",Oleg Popov,-145,1,-150,1,,,-150,0,,,,,,,,,,,,,-142,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Taila Santos , Denise Kielholtz",Taila Santos,-550,-1,-600,0,,,-549,0,,,,,,,,,,,,,-550,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Taila Santos , Denise Kielholtz",Denise Kielholtz,400,1,375,0,,,350,0,,,,,,,,,,,,,410,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Bruno Cappelozza , Sergey Bilostenniy",Bruno Cappelozza,-135,1,-135,0,,,-125,0,,,,,,,,,,,,,-135,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Bruno Cappelozza , Sergey Bilostenniy",Sergey Bilostenniy,105,-1,105,0,,,-105,0,,,,,,,,,,,,,114,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Dakota Ditcheva , Lisa Mauldin",Dakota Ditcheva,-1400,-1,-1200,-1,,,-1000,0,,,,,,,,,,,,,-1350,-1,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Dakota Ditcheva , Lisa Mauldin",Lisa Mauldin,900,1,700,1,,,600,0,,,,,,,,,,,,,800,1,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Ante Delija , Valentin Moldavsky",Ante Delija,100,1,-105,0,,,-105,0,,,,,,,,,,,,,100,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Ante Delija , Valentin Moldavsky",Valentin Moldavsky,-130,-1,-125,0,,,-125,0,,,,,,,,,,,,,-120,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Tyrell Fortune , Daniel James",Tyrell Fortune,-150,-1,-145,-1,,,-138,-1,,,,,,,,,,,,,-135,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Tyrell Fortune , Daniel James",Daniel James,120,1,110,1,,,105,1,,,,,,,,,,,,,114,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Denis Goltsov , Linton Vassell",Denis Goltsov,-160,-1,-165,-1,,,-163,-1,,,,,,,,,,,,,-162,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Denis Goltsov , Linton Vassell",Linton Vassell,130,1,125,1,,,120,1,,,,,,,,,,,,,136,0,,,,
ACA 173: Frolov vs. Yankovsky,"Mikhail Doroshenko , Denis Maher",Mikhail Doroshenko,,,160,-1,,,,,,,,,,,,,,,,,,,,,,
ACA 173: Frolov vs. Yankovsky,"Mikhail Doroshenko , Denis Maher",Denis Maher,,,-210,1,,,,,,,,,,,,,,,,,,,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Liz Carmouche , Juliana Velasquez",Liz Carmouche,-260,1,-250,-1,,,-250,0,,,,,,,,,,,,,-250,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Liz Carmouche , Juliana Velasquez",Juliana Velasquez,200,-1,185,1,,,175,0,,,,,,,,,,,,,205,0,,,,
ACA 173: Frolov vs. Yankovsky,"Ruslan Kolodko , Elias Silverio",Ruslan Kolodko,,,-135,0,,,,,,,,,,,,,,,,,,,,,,
ACA 173: Frolov vs. Yankovsky,"Ruslan Kolodko , Elias Silverio",Elias Silverio,,,105,0,,,,,,,,,,,,,,,,,,,,,,
ACA 173: Frolov vs. Yankovsky,"Tony Johnson Jr. , Carlos Felipe",Tony Johnson Jr.,,,-115,1,,,,,,,,,,,,,,,,,,,,,,
ACA 173: Frolov vs. Yankovsky,"Tony Johnson Jr. , Carlos Felipe",Carlos Felipe,,,-115,-1,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night 240: Allen vs. Curtis 2,"Dylan Budka , Cesar Almeida",Dylan Budka,110,-1,,,,,,,,,,,,,,,,,116,0,124,-1,126,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Dylan Budka , Cesar Almeida",Cesar Almeida,-130,1,,,,,,,,,,,,,,,,,-143,0,-148,1,-162,0,,
ACA 173: Frolov vs. Yankovsky,"Artem Frolov , Vladislav Yankovsky",Artem Frolov,,,-475,-1,,,,,,,,,,,,,,,,,,,,,,
ACA 173: Frolov vs. Yankovsky,"Artem Frolov , Vladislav Yankovsky",Vladislav Yankovsky,,,315,1,,,,,,,,,,,,,,,,,,,,,,
UFC Fight Night 240: Allen vs. Curtis 2,"Cynthia Calvillo , Piera Rodriguez",Cynthia Calvillo,170,1,160,-1,165,1,163,0,160,0,165,1,,,,,167,1,170,0,,,168,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Cynthia Calvillo , Piera Rodriguez",Piera Rodriguez,-200,-1,-195,1,-194,-1,-225,0,-220,0,-200,-1,,,,,-189,-1,-215,0,,,-220,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Court McGee , Alex Morono",Court McGee,285,1,255,-1,,,240,0,260,1,250,0,,,,,265,0,275,0,275,0,260,-1,,
UFC Fight Night 240: Allen vs. Curtis 2,"Court McGee , Alex Morono",Alex Morono,-350,-1,-350,-1,,,-350,0,-400,-1,-350,0,,,,,-370,0,-375,0,-345,0,-360,1,,
UFC Fight Night 240: Allen vs. Curtis 2,"Heili Alateng , Victor Hugo Silva",Heili Alateng,-107,-1,135,-1,100,-1,-105,-1,100,1,,,,,,,102,-1,102,0,100,-1,-102,0,,
UFC Fight Night 240: Allen vs. Curtis 2,"Heili Alateng , Victor Hugo Silva",Victor Hugo Silva,-113,1,-165,1,-115,1,-125,1,-130,-1,,,,,,,-113,1,-127,0,-120,1,-125,0,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Anton Turkalj,105,1,102,1,106,-1,-100,-1,100,1,-105,1,111,1,102,1,108,-1,-105,1,105,1,-102,0,-105,1
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Ibo Aslan,-125,-1,-125,-1,-122,1,-125,-1,-130,-1,-125,-1,-122,-1,-124,-1,-120,-1,-118,-1,-125,-1,-125,0,-125,-1
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Fight ends in a Draw,6600,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Fight doesn't end in a Draw,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Over 1.5 rounds,-105,1,-105,1,,,-105,0,-105,1,-105,1,-102,0,-105,1,-102,1,,,-105,0,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Under 1.5 rounds,-125,-1,-125,-1,,,-125,0,-125,-1,-125,-1,-121,0,-115,-1,-120,-1,,,-125,0,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Fight goes the distance,300,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Fight ends inside distance,-400,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj wins inside distance,195,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj doesn't win inside distance,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan wins inside distance,-115,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan doesn't win inside distance,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj wins by decision,400,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj doesn't win by decision,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan wins by decision,1200,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan doesn't win by decision,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj wins by TKO/KO,450,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj doesn't win by TKO/KO,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan wins by TKO/KO,100,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan doesn't win by TKO/KO,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj wins by submission,325,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj doesn't win by submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan wins by submission,2000,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan doesn't win by submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj wins in round 1,450,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj doesn't win in round 1,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan wins in round 1,135,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan doesn't win in round 1,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj wins in round 2,500,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj doesn't win in round 2,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan wins in round 2,900,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan doesn't win in round 2,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj wins in round 3,1000,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj doesn't win in round 3,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan wins in round 3,2000,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan doesn't win in round 3,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan","Turkalj wins in round 1 - KO, TKO or DQ",1250,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan","Turkalj doesn't win in round 1 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan","Aslan wins in round 1 - KO, TKO or DQ",145,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan","Aslan doesn't win in round 1 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan","Turkalj wins in round 2 - KO, TKO or DQ",1450,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan","Turkalj doesn't win in round 2 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan","Aslan wins in round 2 - KO, TKO or DQ",1000,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan","Aslan doesn't win in round 2 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan","Turkalj wins in round 3 - KO, TKO or DQ",2500,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan","Turkalj doesn't win in round 3 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan","Aslan wins in round 3 - KO, TKO or DQ",2200,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan","Aslan doesn't win in round 3 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj wins in round 1 - Submission,700,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj doesn't win in round 1 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan wins in round 1 - Submission,4000,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan doesn't win in round 1 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj wins in round 2 - Submission,800,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj doesn't win in round 2 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan wins in round 2 - Submission,6000,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan doesn't win in round 2 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj wins in round 3 - Submission,1600,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Turkalj doesn't win in round 3 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan wins in round 3 - Submission,8000,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Aslan doesn't win in round 3 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Anton Turkalj (scorecards = no action),110,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Anton Turkalj , Ibo Aslan",Ibo Aslan (scorecards = no action),-140,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Julio Arce , Herbert Burns",Julio Arce,-450,1,-400,1,-422,1,-500,-1,-550,1,-450,1,-441,1,-449,1,-405,1,-455,1,-440,1,-520,1,-450,1
UFC on ESPN 54: Blanchfield vs. Fiorot,"Julio Arce , Herbert Burns",Herbert Burns,350,-1,300,-1,325,-1,350,-1,325,-1,325,-1,355,-1,335,-1,329,-1,340,-1,340,-1,350,-1,285,-1
UFC on ESPN 54: Blanchfield vs. Fiorot,"Julio Arce , Herbert Burns",Over 1.5 rounds,-115,-1,-115,-1,,,-120,0,-115,-1,-115,-1,120,0,-113,1,-111,1,,,-115,-1,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Julio Arce , Herbert Burns",Under 1.5 rounds,-115,1,-115,1,,,-110,0,-115,1,-115,1,-148,0,-107,-1,-110,-1,,,-115,1,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Julio Arce , Herbert Burns",Fight goes the distance,250,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Julio Arce , Herbert Burns",Fight ends inside distance,-325,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Sean Brady , Vicente Luque",Sean Brady,-280,1,,,,,,,,,,,,,,,,,-295,0,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Sean Brady , Vicente Luque",Vicente Luque,240,-1,,,,,,,,,,,,,,,,,230,0,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Bill Algeo , Kyle Nelson",Bill Algeo,-205,-1,-210,-1,-220,-1,-225,-1,-220,-1,-205,-1,-210,-1,-215,1,-214,-1,-215,-1,-218,-1,-220,-1,-225,-1
UFC on ESPN 54: Blanchfield vs. Fiorot,"Bill Algeo , Kyle Nelson",Kyle Nelson,175,1,173,-1,185,1,175,-1,160,1,170,1,190,1,173,-1,188,1,170,1,180,1,168,1,165,1
UFC on ESPN 54: Blanchfield vs. Fiorot,"Bill Algeo , Kyle Nelson",Over 2.5 rounds,-223,-1,-230,-1,,,-225,0,-240,-1,-223,-1,-223,0,-219,-1,-222,-1,,,-230,0,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Bill Algeo , Kyle Nelson",Under 2.5 rounds,183,1,175,1,,,163,0,170,1,183,1,178,0,177,1,179,1,,,175,0,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Bill Algeo , Kyle Nelson",Fight goes the distance,-190,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Bill Algeo , Kyle Nelson",Fight ends inside distance,155,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Chidi Njokuani,-139,-1,-150,1,-145,-1,-175,-1,-155,1,-140,-1,-152,1,-146,1,-142,-1,-150,1,-142,1,-158,1,-140,1
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Rhys McKee,119,1,125,-1,126,1,140,1,125,-1,110,1,130,-1,120,-1,128,1,120,-1,120,-1,124,-1,110,-1
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Fight ends in a Draw,6600,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Fight doesn't end in a Draw,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Over 1.5 rounds,-120,1,-120,1,,,-110,1,-120,1,-120,1,-116,1,-115,1,-116,1,,,-120,1,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Under 1.5 rounds,-110,-1,-110,-1,,,-120,-1,-110,-1,-110,-1,-106,-1,-105,-1,-104,-1,,,-110,-1,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Fight goes the distance,250,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Fight ends inside distance,-325,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani wins inside distance,-135,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Chidi Njokuani , Rhys McKee",Njokuani doesn't win inside distance,,,,,,,,,,,,,,,,,,,,,,,,,,
