Name,Item#,Brand,Price ($),Details,Features,More Information,No of Reviews,Reviews
"Harmonie Disposable Underpads - TENA Regular, Blue - 17",098 196721,Harmonie,4.330000,"TENA® Regular Disposable Bed Pads, provide proven protection and breakthrough technology to absorb leakage, reduce odors and control bacteria. Use these disposable underpads to keep beds, chairs, wheelchairs and other surfaces dry so you, or your loved one, stay secure and comfortable.,TENA® Underpads, use ,, which provides far greater levels of absorption and retention than draw-sheets or wadding-filled pads. Choose ,TENA® Regular, for light absorbency surface protection from accidental urine loss.,Unlike many expensive incontinence products that require regular washing, these sheet protectors are completely disposable and very cost-effective. The added benefit of a smooth side helps with patient transfer and repositioning.
The interior liner of these disposable bed pads is soft to the touch, vented to keep cool, and non-irritating to the user’s skin. ,TENA® Disposable Underpads, are available at different levels of protection and sizes.,ADDITIONAL RESOURCES:","Light absorbency Latex Free bed pads,Designed for bed or chair protection from light bladder leaks or incontinence,Fluff pad with breakthrough technology to absorb leakage, reduce odors and control bacteria,Non-woven soft top sheet for comfort,The moisture proof lining traps liquid to better protect beds and chairs and keep them dry.,Soft, resistant outer layer for maximum comfort,Interior liner is soft to the touch and will not irritate skin,Disposable and cost-effective,Alternative use as puppy pee pads","Brand Name,Harmonie,Manufacturer Number,352, 350, 351",1,
"Harmonie Disposable Underpads - TENA Regular, Blue - 17",098 196721,Harmonie,55.170000,"TENA® Regular Disposable Bed Pads, provide proven protection and breakthrough technology to absorb leakage, reduce odors and control bacteria. Use these disposable underpads to keep beds, chairs, wheelchairs and other surfaces dry so you, or your loved one, stay secure and comfortable.,TENA® Underpads, use ,, which provides far greater levels of absorption and retention than draw-sheets or wadding-filled pads. Choose ,TENA® Regular, for light absorbency surface protection from accidental urine loss.,Unlike many expensive incontinence products that require regular washing, these sheet protectors are completely disposable and very cost-effective. The added benefit of a smooth side helps with patient transfer and repositioning.
The interior liner of these disposable bed pads is soft to the touch, vented to keep cool, and non-irritating to the user’s skin. ,TENA® Disposable Underpads, are available at different levels of protection and sizes.,ADDITIONAL RESOURCES:","Light absorbency Latex Free bed pads,Designed for bed or chair protection from light bladder leaks or incontinence,Fluff pad with breakthrough technology to absorb leakage, reduce odors and control bacteria,Non-woven soft top sheet for comfort,The moisture proof lining traps liquid to better protect beds and chairs and keep them dry.,Soft, resistant outer layer for maximum comfort,Interior liner is soft to the touch and will not irritate skin,Disposable and cost-effective,Alternative use as puppy pee pads","Brand Name,Harmonie,Manufacturer Number,352, 350, 351",1,
"Harmonie Disposable Underpads - TENA Regular, Blue - 23",098 196721,Harmonie,8.280000,"TENA® Regular Disposable Bed Pads, provide proven protection and breakthrough technology to absorb leakage, reduce odors and control bacteria. Use these disposable underpads to keep beds, chairs, wheelchairs and other surfaces dry so you, or your loved one, stay secure and comfortable.,TENA® Underpads, use ,, which provides far greater levels of absorption and retention than draw-sheets or wadding-filled pads. Choose ,TENA® Regular, for light absorbency surface protection from accidental urine loss.,Unlike many expensive incontinence products that require regular washing, these sheet protectors are completely disposable and very cost-effective. The added benefit of a smooth side helps with patient transfer and repositioning.
The interior liner of these disposable bed pads is soft to the touch, vented to keep cool, and non-irritating to the user’s skin. ,TENA® Disposable Underpads, are available at different levels of protection and sizes.,ADDITIONAL RESOURCES:","Light absorbency Latex Free bed pads,Designed for bed or chair protection from light bladder leaks or incontinence,Fluff pad with breakthrough technology to absorb leakage, reduce odors and control bacteria,Non-woven soft top sheet for comfort,The moisture proof lining traps liquid to better protect beds and chairs and keep them dry.,Soft, resistant outer layer for maximum comfort,Interior liner is soft to the touch and will not irritate skin,Disposable and cost-effective,Alternative use as puppy pee pads","Brand Name,Harmonie,Manufacturer Number,352, 350, 351",1,
"Harmonie Disposable Underpads - TENA Regular, Blue - 23",098 196721,Harmonie,62.710000,"TENA® Regular Disposable Bed Pads, provide proven protection and breakthrough technology to absorb leakage, reduce odors and control bacteria. Use these disposable underpads to keep beds, chairs, wheelchairs and other surfaces dry so you, or your loved one, stay secure and comfortable.,TENA® Underpads, use ,, which provides far greater levels of absorption and retention than draw-sheets or wadding-filled pads. Choose ,TENA® Regular, for light absorbency surface protection from accidental urine loss.,Unlike many expensive incontinence products that require regular washing, these sheet protectors are completely disposable and very cost-effective. The added benefit of a smooth side helps with patient transfer and repositioning.
The interior liner of these disposable bed pads is soft to the touch, vented to keep cool, and non-irritating to the user’s skin. ,TENA® Disposable Underpads, are available at different levels of protection and sizes.,ADDITIONAL RESOURCES:","Light absorbency Latex Free bed pads,Designed for bed or chair protection from light bladder leaks or incontinence,Fluff pad with breakthrough technology to absorb leakage, reduce odors and control bacteria,Non-woven soft top sheet for comfort,The moisture proof lining traps liquid to better protect beds and chairs and keep them dry.,Soft, resistant outer layer for maximum comfort,Interior liner is soft to the touch and will not irritate skin,Disposable and cost-effective,Alternative use as puppy pee pads","Brand Name,Harmonie,Manufacturer Number,352, 350, 351",1,
"Harmonie Disposable Underpads - TENA Regular, Blue - 23",098 196721,Harmonie,62.710000,"TENA® Regular Disposable Bed Pads, provide proven protection and breakthrough technology to absorb leakage, reduce odors and control bacteria. Use these disposable underpads to keep beds, chairs, wheelchairs and other surfaces dry so you, or your loved one, stay secure and comfortable.,TENA® Underpads, use ,, which provides far greater levels of absorption and retention than draw-sheets or wadding-filled pads. Choose ,TENA® Regular, for light absorbency surface protection from accidental urine loss.,Unlike many expensive incontinence products that require regular washing, these sheet protectors are completely disposable and very cost-effective. The added benefit of a smooth side helps with patient transfer and repositioning.
The interior liner of these disposable bed pads is soft to the touch, vented to keep cool, and non-irritating to the user’s skin. ,TENA® Disposable Underpads, are available at different levels of protection and sizes.,ADDITIONAL RESOURCES:","Light absorbency Latex Free bed pads,Designed for bed or chair protection from light bladder leaks or incontinence,Fluff pad with breakthrough technology to absorb leakage, reduce odors and control bacteria,Non-woven soft top sheet for comfort,The moisture proof lining traps liquid to better protect beds and chairs and keep them dry.,Soft, resistant outer layer for maximum comfort,Interior liner is soft to the touch and will not irritate skin,Disposable and cost-effective,Alternative use as puppy pee pads","Brand Name,Harmonie,Manufacturer Number,352, 350, 351",1,
Soft N Cool Facial Band - ONE SIZE,754 586855 01,Elite Compression Garments,$146.91,"AllegroMedical.com presents The Soft N Cool Facial Band. ,Soft N Cool Facial Band compression garment is ideal for autoplasty and liposuction of chin and cheeks, and facial & neck procedures.","Soft breathable elastic wrap,1.5"" breathable elastic stabilizing band with velcro closure,Fully adjustable band,One size fits all","Brand Name,Elite Compression Garments,Manufacturer Number,E3100",,Be the first to review this product
SPRING SINGLE ACUNEEDLES BX100 0.16dia X 15mm L,176 0099,"Lhasa Oms, Inc.",10000.000000,"DBC Spring Singles Acupuncture Needles,Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg,NOTE:","Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg","Brand Name,Lhasa Oms, Inc.,Manufacturer Number,DST.18X15, DST.20X15, DST.20X30, DST.22X30, DST.20X40, DST.25X40, DST.30X40, DST.25X50, DST.30X50, DST.22X15, DST.25X30, DST.22X40, DST.25X15, DST.16X30, DST.18X30, DST.30X30, DST.18X40, DST.20X50",,Be the first to review this product
McKesson Pink Nitrile® Exam Gloves - Powder Free - Small - Box of 250,763 586793,Generation Pink,43.990000,"The McKesson Pink Nitrile® Exam Gloves offer improved conformability which provides a superior fit along with extended-wear comfort. Textured fingertips give the users tactile sensitivity and dexterity. McKesson Pink Nitrile® Exam Gloves are non-sterile and powder-free. McKesson Pink Nitrile® Exam Gloves are multipurpose and may be used to prevent the spread of infection or for personal protection. Also, great to keep hands clean when gardening, cleaning around the house, or whenever a messy situation arises. Use when changing baby diapers or adult diapers for additional protection. A portion of proceeds given to the Breast Cancer Research Foundation (BCRF), McKesson donates $20,000 each year to the BCRF, the box includes BCRF logo.","McKesson Pink Nitrile® Exam Gloves
,Powder-Free
, Beaded Cuff
Non-Sterile
, Ambidextrous
, Textured fingertips provide excellent tactile sensitivity and dexterity
, Improved conformability provides superior fit and extended wear comfort
, Single use only
, Not Made With Natural Rubber Latex.
, Packaged: 250 Per Box, 10 Boxes Per Case
, The Color Pink® and Pink Nitrile® are used under license from the registered trademark owner Colur World, LLC.
","Manufacturer Number,14-6NPNK2, 14-6NPNK4, 14-6NPNK6, 14-6NPNK8",,Be the first to review this product
Soft N Cool Facial Band - ONE SIZE,754 586855 01,Elite Compression Garments,$146.91,"AllegroMedical.com presents The Soft N Cool Facial Band. ,Soft N Cool Facial Band compression garment is ideal for autoplasty and liposuction of chin and cheeks, and facial & neck procedures.","Soft breathable elastic wrap,1.5"" breathable elastic stabilizing band with velcro closure,Fully adjustable band,One size fits all","Brand Name,Elite Compression Garments,Manufacturer Number,E3100",,Be the first to review this product
"Spring Single Acuneedles Bx100, 0.18Dia X 15Mm L",176 0099,"Lhasa Oms, Inc.",5.700000,"DBC Spring Singles Acupuncture Needles,Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg,NOTE:","Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg","Brand Name,Lhasa Oms, Inc.,Manufacturer Number,DST.18X15, DST.20X15, DST.20X30, DST.22X30, DST.20X40, DST.25X40, DST.30X40, DST.25X50, DST.30X50, DST.22X15, DST.25X30, DST.22X40, DST.25X15, DST.16X30, DST.18X30, DST.30X30, DST.18X40, DST.20X50",,Be the first to review this product
"Spring Single Acuneedles Bx100, 0.20Dia X 15Mm L",176 0099,"Lhasa Oms, Inc.",5.700000,"DBC Spring Singles Acupuncture Needles,Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg,NOTE:","Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg","Brand Name,Lhasa Oms, Inc.,Manufacturer Number,DST.18X15, DST.20X15, DST.20X30, DST.22X30, DST.20X40, DST.25X40, DST.30X40, DST.25X50, DST.30X50, DST.22X15, DST.25X30, DST.22X40, DST.25X15, DST.16X30, DST.18X30, DST.30X30, DST.18X40, DST.20X50",,Be the first to review this product
"Spring Single Acuneedles Bx100, 0.20Dia X 30Mm L",176 0099,"Lhasa Oms, Inc.",5.700000,"DBC Spring Singles Acupuncture Needles,Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg,NOTE:","Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg","Brand Name,Lhasa Oms, Inc.,Manufacturer Number,DST.18X15, DST.20X15, DST.20X30, DST.22X30, DST.20X40, DST.25X40, DST.30X40, DST.25X50, DST.30X50, DST.22X15, DST.25X30, DST.22X40, DST.25X15, DST.16X30, DST.18X30, DST.30X30, DST.18X40, DST.20X50",,Be the first to review this product
"Spring Single Acuneedles Bx100, 0.22Dia X 30Mm L",176 0099,"Lhasa Oms, Inc.",5.700000,"DBC Spring Singles Acupuncture Needles,Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg,NOTE:","Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg","Brand Name,Lhasa Oms, Inc.,Manufacturer Number,DST.18X15, DST.20X15, DST.20X30, DST.22X30, DST.20X40, DST.25X40, DST.30X40, DST.25X50, DST.30X50, DST.22X15, DST.25X30, DST.22X40, DST.25X15, DST.16X30, DST.18X30, DST.30X30, DST.18X40, DST.20X50",,Be the first to review this product
"Spring Single Acuneedles Bx100, 0.20Dia X 40Mm L",176 0099,"Lhasa Oms, Inc.",5.700000,"DBC Spring Singles Acupuncture Needles,Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg,NOTE:","Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg","Brand Name,Lhasa Oms, Inc.,Manufacturer Number,DST.18X15, DST.20X15, DST.20X30, DST.22X30, DST.20X40, DST.25X40, DST.30X40, DST.25X50, DST.30X50, DST.22X15, DST.25X30, DST.22X40, DST.25X15, DST.16X30, DST.18X30, DST.30X30, DST.18X40, DST.20X50",,Be the first to review this product
"DBC Spring Singles Acupuncture Needles, 0.25 Diameter x 40mm Long - 100 per box",176 0099,"Lhasa Oms, Inc.",5.700000,"DBC Spring Singles Acupuncture Needles,Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg,NOTE:","Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg","Brand Name,Lhasa Oms, Inc.,Manufacturer Number,DST.18X15, DST.20X15, DST.20X30, DST.22X30, DST.20X40, DST.25X40, DST.30X40, DST.25X50, DST.30X50, DST.22X15, DST.25X30, DST.22X40, DST.25X15, DST.16X30, DST.18X30, DST.30X30, DST.18X40, DST.20X50",,Be the first to review this product
"Spring Single Acuneedles Bx100, 0.30Dia X 40Mm L",176 0099,"Lhasa Oms, Inc.",5.700000,"DBC Spring Singles Acupuncture Needles,Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg,NOTE:","Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg","Brand Name,Lhasa Oms, Inc.,Manufacturer Number,DST.18X15, DST.20X15, DST.20X30, DST.22X30, DST.20X40, DST.25X40, DST.30X40, DST.25X50, DST.30X50, DST.22X15, DST.25X30, DST.22X40, DST.25X15, DST.16X30, DST.18X30, DST.30X30, DST.18X40, DST.20X50",,Be the first to review this product
"Spring Single Acuneedles Bx100, 0.25Dia X 50Mm L",176 0099,"Lhasa Oms, Inc.",5.700000,"DBC Spring Singles Acupuncture Needles,Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg,NOTE:","Sterile and disposable surgical stainless steel acupuncture needles with 25 mm spring style metal handle,1 needle with 1 insertion tube per sterile, individually sealed blister package.,Needles are secured inguide tubes with plastic holding tabs,100/pkg","Brand Name,Lhasa Oms, Inc.,Manufacturer Number,DST.18X15, DST.20X15, DST.20X30, DST.22X30, DST.20X40, DST.25X40, DST.30X40, DST.25X50, DST.30X50, DST.22X15, DST.25X30, DST.22X40, DST.25X15, DST.16X30, DST.18X30, DST.30X30, DST.18X40, DST.20X50",,Be the first to review this product
McKesson Pink Nitrile® Exam Gloves - Powder Free - Medium - Box of 250,763 586793,Generation Pink,24.920000,"The McKesson Pink Nitrile® Exam Gloves offer improved conformability which provides a superior fit along with extended-wear comfort. Textured fingertips give the users tactile sensitivity and dexterity. McKesson Pink Nitrile® Exam Gloves are non-sterile and powder-free. McKesson Pink Nitrile® Exam Gloves are multipurpose and may be used to prevent the spread of infection or for personal protection. Also, great to keep hands clean when gardening, cleaning around the house, or whenever a messy situation arises. Use when changing baby diapers or adult diapers for additional protection. A portion of proceeds given to the Breast Cancer Research Foundation (BCRF), McKesson donates $20,000 each year to the BCRF, the box includes BCRF logo.","McKesson Pink Nitrile® Exam Gloves
,Powder-Free
, Beaded Cuff
Non-Sterile
, Ambidextrous
, Textured fingertips provide excellent tactile sensitivity and dexterity
, Improved conformability provides superior fit and extended wear comfort
, Single use only
, Not Made With Natural Rubber Latex.
, Packaged: 250 Per Box, 10 Boxes Per Case
, The Color Pink® and Pink Nitrile® are used under license from the registered trademark owner Colur World, LLC.
","Manufacturer Number,14-6NPNK2, 14-6NPNK4, 14-6NPNK6, 14-6NPNK8",,Be the first to review this product
