Business Name,Address,Phone,Web,Email,CIF,Legal Form,Sector,Constitution Date,Last Change Date,Social Object,Commercial Registry,Trade Names,Activity,CNAE Activity,URL1,URL2
Empresa Electrica De San Pedro Sl,"Calle ramon gomez redondo, 6, albacete, 02006, albacete",967661011,,distribuidora@eesanpedro.es,B02164044,Sociedad limitada unipersonal,Energía,13-8-1992,18-2-2024,"Actividades reguladas, distribucion y transporte de energia electrica.",Albacete,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/EMPRESA-ELECTRICA-SAN-PEDRO.html,https://empresite.eleconomista.es/EMPRESA-ELECTRICA-SAN-PEDRO.html
Distribucion Electrica Las Mercedes Sl,"Avenida de guadalajara, 68 - nav 3, mondejar, 19110, guadalajara",949387130,,lasmercedes@mondejar.net,B19154707,Sociedad limitada unipersonal,Energía,5-10-1995,27-8-2023,"La sociedad tiene por objeto la distribucion de energia electrica, la comercializacion de todo tipo de productos energeticos, en particular la energia electrica en los terminos previstos en la ley sin limitacion de terri",Guadalajara,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/DISTRIBUCION-ELECTRICA-MERCEDES.html,https://empresite.eleconomista.es/DISTRIBUCION-ELECTRICA-MERCEDES.html
Electra Del Gayoso Sl,"Calle casais, 20, vimianzo, 15129, la coruña",981716045,www.gayoso.org,electragalloso@galloso.org,B15457971,Sociedad limitada,Energía,10-5-1994,24-9-2023,Distribución de energía eléctrica y gestión de averías de luces.,La Coruña,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRA-GAYOSO.html,https://empresite.eleconomista.es/ELECTRA-GAYOSO.html
Energetica De Alcocer Sl,"Avenida francisco chacon, 31, puebla de alcocer, 06630, badajoz",924620043,www.industriasdelpozo.com,jps.sl@industriasdelpozo.com,B06399364,Sociedad limitada,Energía,21-7-2003,25-2-2024,Suministro de energía eléctrica a particulares y empresas,Badajoz,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ENERGETICA-ALCOCER.html,https://empresite.eleconomista.es/ENERGETICA-ALCOCER.html
Electra Castillejense Sa,"Calle monte, 24, villanueva de los castillejos, 21540, huelva",959387006,www.electracastillejense.es,electra@electracastillejense.com,A21002142,Sociedad anónima,Energía,27-7-1955,17-12-2023,Distribución de electricidad,,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRA-CASTILLEJENSE.html,https://empresite.eleconomista.es/ELECTRA-CASTILLEJENSE.html
Electrica Ntra Sra De Los Santos Sl,"Paseo la playa, s/n, alcala de los gazules, 11180, cadiz",956420159,www.elecsantos.es,administracion@elecsantos.es,B11000759,Sociedad limitada,Energía,8-7-1944,24-12-2023,"A) la distribucion de energia electrica, asi como la construccion, mantenimiento y operacion de las instalaciones de distribucion destinadas a situar la energia en los puntos de consumo para proceder a su venta a aquello",Cádiz,Alcala Wifi Internetparatodos,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRICA-NTRA-SRA-SANTOS.html,https://empresite.eleconomista.es/ELECTRICA-NTRA-SRA-SANTOS.html
Electrica De Guadassuar Distribucion Sociedad Limitada.,"Calle gran via, 88, guadassuar, 46610, valencia",962570107,www.electricaguadassuar.es,info@coopelec.es,B98194780,Sociedad limitada,Energía,16-12-2009,2-7-2023,". la sociedad tendra por objeto: la comercializacion de todo tipo de productos energeticos, en particular la energia electrica en los terminos previstos en la ley, sin limitacion de territorio, asi como indirectamente co",Valencia,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRICA-GUADASSUAR-DISTRIBUCION.html,https://empresite.eleconomista.es/ELECTRICA-GUADASSUAR-COMERCIALIZACION.html
Herederos De Emilio Gamero Sl,"Calle blas infante, 65, fuente palmera, 14120, cordoba",,,heregamersl@hotmail.com,B14010656,Sociedad limitada,Energía,8-3-1965,17-9-2023,"La distribucion de energia electrica, la comercializacion de todo tipo de productos energeticos, en particular la energia electrica en los terminos previstos en la ley sin limitacion de territorio; asi como todos los ser",Córdoba,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/HEREDEROS-EMILIO-GAMERO.html,https://empresite.eleconomista.es/HEREDEROS-EMILIO-GAMERO.html
Distribuidora Electrica De Ardales Sociedad Limitada.,"Plaza san isidro, 41, ardales, 29550, malaga",952458401,www.electricardales.es,admideasl@electricardales.es,B29224003,Sociedad limitada,Energía,10-7-1987,8-10-2023,"Distribucion electrica de forma exclusiva, y la de comercializacion a traves de sociedades participadas.",Málaga,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/DISTRIBUIDORA-ELECTRICA-ARDALES.html,https://empresite.eleconomista.es/DISTRIBUIDORA-ELECTRICA-ARDALES.html
Electra Saltea Slu,"Calle emilio arrieta, 25 - plt 2 dr, pamplona/iruña, 31002, navarra",948213570,,administracion@grupobel.com,B31613409,Sociedad limitada unipersonal,Energía,1-4-1998,9-7-2023,Distribución de energía eléctrica a nivel provincial.,Navarra,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRA-SALTEA-SLU.html,https://empresite.eleconomista.es/ELECTRA-SALTEA.html
Juan N Diaz Galvez Y Hermanos Sl,"Calle general armero, 45, fuentes de andalucia, 41420, sevilla",954837354,www.diazgalvez.es,silvia@diazgalvez.es,B41907098,Sociedad limitada,Energía,29-5-1998,8-10-2023,Distribución de energía eléctrica en municipios.,Sevilla,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/JUAN-N-DIAZ-GALVEZ-HERMANOS.html,https://empresite.eleconomista.es/JUAN-N-DIAZ-GALVEZ-HERMANOS.html
Esticar Solar Sl,"Calle melquiades alvarez, 2 - piso 1 iz, madrid, 28003, madrid",,,srico@energylogic.es,B85820470,Sociedad limitada,Energía,16-12-2009,13-8-2023,La promocion y explotacion de instalaciones de generacion de energias renovables...,Madrid,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ESTICAR-SOLAR.html,https://empresite.eleconomista.es/ESTICAR-SOLAR.html
Electrica Santa Marta Y Villalba Sl,"Calle francisco neila, 34, santa marta, 06150, badajoz",924690163,,electrica@elsmv.es,B06337919,Sociedad limitada,Energía,26-12-2000,10-3-2024,Distribución de energía eléctrica,Badajoz,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRICA-SANTA-MARTA-VILLALBA.html,https://empresite.eleconomista.es/ELECTRICA-SANTA-MARTA-VILLALBA.html
Electrica De Biar Distribucion Sl.,"Avenida alicante, 30 - bj, biar, 03410, alicante",,,administracion@coopelectricabiar.com,B54859368,Sociedad limitada,Energía,17-6-2015,20-8-2023,"La distribución de energía eléctrica desde las redes de transporte, o en su caso desde otras redes de distribución o desde la generación conectada a la propia red de distribución, hasta los puntos de consumo u otras redes de distribución con el fin de suministrarla a los consumidores, así como const",Alicante,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRICA-BIAR-DISTRIBUCION.html,https://empresite.eleconomista.es/ELECTRICA-BIAR-DISTRIBUCION.html
Hidroastur Sa,"Calle general zuvillaga, 7, oviedo, 33005, asturias",985271230,www.hidroastur.es,hidroastur@hidroastur.es,A33104415,Sociedad anónima,Energía,8-7-1987,7-1-2024,Suministro de energía.,Asturias,Hidroastur S.a.,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/HIDROASTUR.html,https://empresite.eleconomista.es/HIDROASTUR.html
Distribuidora De Energia Electrica Del Bages Sa,"Avenida vilanova, 12, barcelona, 08018, barcelona",619...,,filialescontabilidad@enel.com,A58382631,Sociedad anónima,Energía,25-5-1987,18-6-2023,El desarrollo de actividades de transporte y distribucion de energia electrica.,Barcelona,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/DISTRIBUIDORA-ENERGIA-ELECTRICA-BAGES.html,https://empresite.eleconomista.es/DISTRIBUIDORA-ENERGIA-ELECTRICA-BAGES.html
Electrica De Guixes Sl,"Plaza mercat, 2, cardona, 08261, barcelona",938691479,www.electricaguixes.com,info@electricaguixes.com,B25025164,Sociedad limitada,Energía,12-12-1980,3-9-2023,Suministro de energía eléctrica.,Barcelona,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRICA-GUIXES.html,https://empresite.eleconomista.es/ELECTRICA-GUIXES.html
Electra Del Narahio Sa,"Lugar vista alegre, naron, 15597, la coruña",981362506,www.narahio.com,electra@narahio.com,A15011661,Sociedad anónima,Energía,25-9-1964,29-10-2023,"Distribución de energía eléctrica. construir, mantener y operar las instalaciones destinadas a situar la energía en los puntos de consumo.",La Coruña,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRA-NARAHIO.html,https://empresite.eleconomista.es/ELECTRA-NARAHIO.html
Juan De Frutos Garcia Distribucion Electrica Sl.,"Calle principe, 6 - 40260, fuentepelayo, 40260, segovia",921574398,www.jdfg.es,,B40268443,Sociedad limitada unipersonal,Energía,16-2-2017,10-9-2023,"La distribución de energía eléctrica, así como construir, mantener y operar las instalaciones de distribución destinadas a situar la energía en los puntos de consumo y todas aquellas funciones que le vengan determinadas por la ley 24/2013, de 26 de diciembre, del sector eléctrico",Segovia,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/JUAN-FRUTOS-GARCIA-DISTRIBUCION-ELECTRICA.html,https://empresite.eleconomista.es/JUAN-FRUTOS-GARCIA-DISTRIBUCION-ELECTRICA.html
Electra Valdizarbe Distribucion Sl.,"Calle leyre, 11 - bis piso 3 a, pamplona/iruña, 31002, navarra",948221796,,grupovaldizarbe@grupovaldizarbe.es,B71308803,Sociedad limitada unipersonal,Energía,30-12-2016,6-8-2023,"1. como actividad principal la de distribución de energía eléctrica con objeto de transmitir y distribuir energía eléctrica desde las redes de transporte, o en su caso desde otras redes de distribución o desde la generación conectada a la propia red de distribución. y otras",Navarra,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRA-VALDIZARBE-DISTRIBUCION.html,https://empresite.eleconomista.es/ELECTRA-VALDIZARBE-DISTRIBUCION.html
Elecdey Lezuza Sa,"Plaza la amistad, 11, lezuza, 02160, albacete",,,elecdey@elecdey.es,A02375111,Sociedad anónima,Energía,20-8-2004,26-11-2023,Explotación de parque eólico.,Albacete,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECDEY-LEZUZA.html,https://empresite.eleconomista.es/ELECDEY-LEZUZA.html
Bioelectrica De Linares Sl,"Paseo castellana, 74 - 1 a, madrid, 28046, madrid",910791450,,administracion@sdcl-iberia.com,B91658567,Sociedad limitada,Energía,13-2-2008,24-9-2023,Suministro de energía.,Madrid,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/BIOELECTRICA-LINARES.html,https://empresite.eleconomista.es/BIOELECTRICA-LINARES.html
Comercializadora De Electricidad Y Gas Del Mediterraneo Sl.,"Plaza villa de castelldefels, 4 - piso 8 c, malaga, 29006, malaga",900696556,www.energiasdelmediterraneo.es,mmedina@energiasdelmediterraneo.es,B93506681,Sociedad limitada,Energía,20-10-2016,21-4-2024,"Comercialización de electricidad y gas. venta directa y online de productos energéticos y de electricidad en general. asesoramiento integral de instalaciones energéticas. instalación, venta y mantenimiento de dispositivos específicos de electricidad y gas",Málaga,Energias Del Mediterraneo,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/COMERCIALIZADORA-ELECTRICIDAD-GAS-MEDITERRANEO.html,https://empresite.eleconomista.es/COMERCIALIZADORA-ELECTRICIDAD-GAS-MEDITERRANEO.html
Empresa De Alumbrado Electrico De Ceuta Distribucion Sa,"Calle beatriz de silva, 2, ceuta, 51001, ceuta",956511900,www.electricadeceuta.com,info@electricadeceuta.com,A51004166,Sociedad anónima unipersonal,Energía,8-1-2001,15-10-2023,Distribución de energía eléctrica en ceuta.,Ceuta,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/EMPRESA-ALUMBRADO-ELECTRICO-CEUTA-DISTRIBUCION.html,https://empresite.eleconomista.es/EMPRESA-ALUMBRADO-ELECTRICO-CEUTA-DISTRIBUCION.html
Compañia Energetica Puente Del Obispo Sl,"Paseo castellana, 74 - planta 1 pta. a, madrid, 28046, madrid",910791450,,jhuertas@sacyr.com,B91448514,Sociedad limitada unipersonal,Energía,17-10-2005,18-2-2024,Distribución y comercialización de energía eléctrica.,Madrid,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/COMPANIA-ENERGETICA-PUENTE-OBISPO.html,https://empresite.eleconomista.es/COMPANIA-ENERGETICA-PUENTE-OBISPO.html
Simples Energia De España Sl.,"Calle pizarro, 16 - piso 2 oficina d, vigo, 36204, pontevedra",886161931,www.simplesenergia.es,info@simplesenergia.es,B87599304,Sociedad limitada,Energía,28-10-2016,9-7-2023,Comercialización y distribución de energía eléctrica.,Pontevedra,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/SIMPLES-ENERGIA-ESPANA.html,https://empresite.eleconomista.es/SIMPLES-ENERGIA-ESPANA.html
Estabanell Y Pahisa Energia Sau,"Calle ponent, 7, granollers, 08401, barcelona",938609100,www.estabanell.com,estabanell@estabanell.cat,A61121752,Sociedad anónima unipersonal,Energía,16-7-1996,3-9-2023,Comercio y distribución de energía eléctrica,Barcelona,"Estabanell Y Pahisa Energia, S.a.",Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ESTABANELL-PAHISA-ENERGIA-SAU.html,https://empresite.eleconomista.es/ESTABANELL-PAHISA-ENERGIA.html
Electrica Guixes Energia Sl.,"Plaza mercat, 2, cardona, 08261, barcelona",938691479,,,B25780800,Sociedad limitada unipersonal,Energía,23-6-2014,6-8-2023,La comercialización de energía eléctrica mediante la adquisición de energía para su venta a los consumidores o a otros sujetos del sistema,Barcelona,Guixés Energia,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRICA-GUIXES-ENERGIA.html,https://empresite.eleconomista.es/ELECTRICA-GUIXES-ENERGIA.html
Hidrocantabrico Distribucion Electrica Sa,"Plaza del fresno, 2 - ed hidrocantabrico, oviedo, 33007, asturias",902830100,www.edphcenergia.es/es,mario.vegagarcia@edp.com,A33591611,Sociedad anónima unipersonal,Energía,29-12-1999,17-3-2024,Distribución energía eléctrica,Asturias,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/HIDROCANTABRICO-DISTRIBUCION-ELECTRICA.html,https://empresite.eleconomista.es/HIDROCANTABRICO-DISTRIBUCION-ELECTRICA.html
