Year,Make,Model,Trim,Drive
2017,Audi,A3 Quattro,Progressiv,AWD
2017,Audi,A3 Quattro,Premium,AWD
2017,Audi,SQ5,Progressiv,AWD
2017,Audi,A3 Quattro,Premium Plus,AWD
2017,Audi,A3 Quattro,Prestige,AWD
2017,Audi,A3 Quattro,Komfort,AWD
2017,Audi,SQ5,Prestige,AWD
2017,Audi,SQ5,Dynamic Edition,AWD
2017,Audi,SQ5,Premium Plus,AWD
2017,Audi,Q3,Progressiv,FWD
2017,Audi,Q3,Premium Plus,FWD
2017,Audi,Q3,Technik,FWD
2017,Audi,Q3,Komfort,FWD
2017,Audi,Q3,Premium,FWD
2017,Audi,S7,Base,AWD
2017,Audi,Q3,Prestige,FWD
2017,Audi,S3,Premium Plus,AWD
2017,Audi,S3,Technik,AWD
2017,Audi,S3,Progressiv,AWD
2016,Smart,Fortwo,Prime,RWD
2016,Smart,Fortwo,Passion,RWD
2016,Smart,Fortwo,Proxy,RWD
2016,Smart,Fortwo,Electric Drive,RWD
2017,Mini,Cooper Clubman,S,FWD
2017,Mini,Cooper Clubman,John Cooper Works ALL4,AWD
2017,Mini,Cooper Clubman,ALL4,AWD
2017,Audi,A6,Premium,FWD
2017,Mini,Cooper Clubman,Base,FWD
2017,Audi,A6,Premium Plus,FWD
2017,Mini,Cooper,Base,FWD
2017,Mini,Cooper,John Cooper Works,FWD
2017,Audi,A3,Progressiv,FWD
2017,Audi,A6 Quattro,Progressiv,AWD
2017,Audi,Q7,Progressiv,AWD
2017,Audi,A3,Premium Plus,FWD
2017,Audi,Q5,Progressiv,AWD
2017,Audi,Q5,Premium Plus,AWD
2017,Audi,Q5,Komfort,AWD
2017,Audi,Q5,Prestige,AWD
2017,Audi,A3,Komfort,FWD
2017,Audi,Q5,Premium,AWD
2017,Audi,Q5,Technik,AWD
2017,Audi,A3,Technik,FWD
2017,Audi,A3,Premium,FWD
2017,Audi,A6 Quattro,Competition,AWD
2017,Audi,A6 Quattro,Technik,AWD
2017,Audi,A6 Quattro,Prestige,AWD
2017,Audi,A6 Quattro,Premium Plus,AWD
2017,Audi,A3,Prestige,FWD
2017,Audi,A6 Quattro,Premium,AWD
2017,Audi,Q7,Premium Plus,AWD
2017,Audi,S8,Plus,AWD
2017,Audi,Q7,Komfort,AWD
2017,Audi,Q7,Prestige,AWD
2017,Audi,Q7,Technik,AWD
2017,Audi,A7 Quattro,Technik,AWD
2017,Audi,A7 Quattro,Prestige,AWD
2017,Audi,Q7,Premium,AWD
2017,Audi,A7 Quattro,Competition,AWD
2017,Audi,A7 Quattro,Progressiv,AWD
2017,Audi,TT Quattro,Base,AWD
2017,Toyota,Yaris,Base,FWD
2017,Toyota,Yaris,Premium,FWD
2017,Audi,A7 Quattro,Premium Plus,AWD
2017,Toyota,Yaris,SE,FWD
2017,Toyota,Yaris,LE,FWD
2017,Toyota,Yaris,L,FWD
2017,Toyota,Highlander,Hybrid Limited,AWD
2017,Toyota,Highlander,XLE,FWD
2017,Toyota,Highlander,XLE,AWD
2017,Toyota,Highlander,SE,FWD
2017,Toyota,Highlander,SE,AWD
2017,Toyota,Highlander,Limited,FWD
2017,Toyota,Highlander,Limited,AWD
2017,Toyota,Highlander,LE,FWD
2017,Toyota,Highlander,LE,AWD
2017,Toyota,Highlander,Hybrid XLE,AWD
2017,Toyota,Highlander,Hybrid LE,AWD
2024,Toyota,Camry,LE,FWD
2024,Toyota,Camry,LE,AWD
2024,Toyota,Camry,Hybrid LE,FWD
2024,Toyota,Camry,SE,FWD
2024,Toyota,Camry,SE,AWD
2024,Toyota,RAV4,Hybrid XLE Premium,AWD
2024,Toyota,RAV4,Trail,AWD
2024,Toyota,RAV4,Hybrid SE,AWD
2024,Toyota,Land Cruiser,1958,AWD
2024,Toyota,Land Cruiser,Base,AWD
2024,Toyota,Sienna,XLE,FWD
2024,Toyota,Sienna,XLE,AWD
2024,Toyota,Land Cruiser,First Edition,AWD
2024,Toyota,Tacoma,TRD Sport,RWD
2024,Toyota,Tacoma,TRD Sport,4WD
2024,Toyota,Tacoma,Limited,4WD
2024,Toyota,Tacoma,TRD PreRunner,RWD
2024,Toyota,Grand Highlander,XLE,FWD
2024,Toyota,Grand Highlander,XLE,AWD
2024,Toyota,Mirai,XLE,RWD
2024,Toyota,Grand Highlander,Platinum,AWD
2024,Toyota,Grand Highlander,Limited,FWD
2024,Toyota,Grand Highlander,Limited,AWD
2024,Toyota,Grand Highlander,Hybrid Limited,AWD
2024,Toyota,Grand Highlander,Hybrid Platinum,AWD
2024,Toyota,4Runner,TRD Sport,RWD
2024,Toyota,4Runner,TRD Sport,4WD
2024,Toyota,4Runner,SR5,RWD
2024,Toyota,4Runner,SR5,4WD
2024,Toyota,4Runner,TRD Pro,4WD
2024,Toyota,4Runner,Limited,RWD
2024,Toyota,4Runner,Limited,4WD
2024,Toyota,GR Supra,45th Anniversary Edition,RWD
2024,Toyota,GR Supra,Premium,RWD
2024,Toyota,GR Supra,Base,RWD
2024,Toyota,4Runner,TRD Off-Road Premium,4WD
2024,Toyota,GR Supra,Premium 45th Anniversary Edition,RWD
2024,Toyota,4Runner,TRD Off-Road,4WD
2024,Toyota,4Runner,SR5 Premium,RWD
2024,Toyota,4Runner,SR5 Premium,4WD
2024,Toyota,GR Corolla,Premium,AWD
2024,Toyota,Grand Highlander,Hybrid XLE,FWD
2024,Toyota,Grand Highlander,Hybrid XLE,AWD
2024,Toyota,Mirai,Limited,RWD
2024,Toyota,Tundra,SR,RWD
2024,Toyota,Tundra,SR,4WD
2024,Toyota,GR Corolla,Circuit Edition,AWD
2024,Toyota,GR Corolla,Core,AWD
2024,Toyota,Tundra,1794 Edition,RWD
2024,Toyota,Tundra,1794 Edition,4WD
2024,Toyota,Tundra,SR5,RWD
2024,Toyota,Tundra,SR5,4WD
2024,Toyota,Tundra,Limited,RWD
2024,Toyota,Tundra,Limited,4WD
2024,Toyota,bZ4X,XLE,FWD
2024,Toyota,bZ4X,XLE,AWD
2024,Toyota,bZ4X,LE,FWD
2024,Toyota,Tundra,TRD Pro,4WD
2024,Toyota,Tundra,Platinum,RWD
2024,Toyota,Tundra,Platinum,4WD
2024,Toyota,Tundra,Capstone,4WD
2024,Toyota,Tacoma,TRD Off-Road,4WD
2024,Toyota,bZ4X,Limited,FWD
2024,Toyota,bZ4X,Limited,AWD
2024,Toyota,Sienna,XSE,FWD
2024,Toyota,Sienna,XSE,AWD
2024,Toyota,Sienna,Limited,FWD
2024,Toyota,Sienna,Limited,AWD
2024,Toyota,Tacoma,SR5,RWD
2024,Toyota,Tacoma,SR5,4WD
2024,Toyota,Sienna,Platinum,FWD
2024,Toyota,Sienna,Platinum,AWD
2024,Toyota,Tacoma,SR,RWD
2024,Toyota,Tacoma,SR,4WD
2024,Toyota,Sienna,Woodland Edition,AWD
2024,Toyota,Sequoia,TRD Pro,4WD
2024,Toyota,Sequoia,Platinum,RWD
2024,Toyota,Sequoia,Platinum,4WD
2024,Toyota,Sienna,LE,FWD
2024,Toyota,Sienna,LE,AWD
2024,Toyota,Sequoia,Limited,RWD
2024,Toyota,Sequoia,Limited,4WD
2024,Toyota,Sequoia,SR5,RWD
2024,Toyota,Sequoia,SR5,4WD
2024,Toyota,Prius Prime,XSE,FWD
2024,Toyota,Sequoia,Capstone,RWD
2024,Toyota,Sequoia,Capstone,4WD
2024,Toyota,Prius Prime,XSE Premium,FWD
2024,Toyota,Prius Prime,SE,FWD
2024,Toyota,Highlander,LE,FWD
2024,Toyota,Highlander,LE,AWD
2024,Toyota,Highlander,Platinum,FWD
2024,Toyota,Highlander,Platinum,AWD
2024,Toyota,Highlander,Hybrid Bronze Edition,FWD
2024,Toyota,Highlander,Hybrid Bronze Edition,AWD
2024,Toyota,Highlander,Hybrid LE,FWD
2024,Toyota,Highlander,Hybrid LE,AWD
2024,Toyota,Highlander,XLE,FWD
2024,Toyota,Highlander,XLE,AWD
2024,Toyota,Highlander,Limited,FWD
2024,Toyota,Highlander,Limited,AWD
2024,Toyota,Highlander,XSE,FWD
2024,Toyota,Highlander,XSE,AWD
2024,Toyota,Highlander,Hybrid XLE Nightshade,FWD
2024,Toyota,Highlander,Hybrid XLE Nightshade,AWD
2024,Toyota,Highlander,Hybrid Limited,FWD
2024,Toyota,Highlander,Hybrid Limited,AWD
2024,Toyota,Highlander,Hybrid Platinum,FWD
2024,Toyota,Highlander,Hybrid Platinum,AWD
2024,Toyota,Highlander,Hybrid XLE,FWD
2024,Toyota,Highlander,Hybrid XLE,AWD
2024,Toyota,Highlander,Hybrid LE Nightshade,FWD
2024,Toyota,Highlander,Hybrid LE Nightshade,AWD
2024,Toyota,RAV4,Hybrid Woodland Edition,AWD
2024,Toyota,RAV4,LE,FWD
2024,Toyota,RAV4,LE,AWD
2024,Toyota,RAV4,Hybrid LE,AWD
2024,Toyota,RAV4,XLE Premium,FWD
2024,Toyota,RAV4,XLE Premium,AWD
2024,Toyota,Corolla,SE,FWD
2024,Toyota,RAV4,Adventure,AWD
2024,Toyota,RAV4,TRD Off-Road,AWD
2024,Toyota,Corolla,LE,FWD
2024,Toyota,RAV4,Hybrid XSE,AWD
2024,Toyota,RAV4,Hybrid Limited,AWD
2024,Toyota,RAV4,Hybrid XLE,AWD
2024,Toyota,RAV4,XLE,FWD
2024,Toyota,RAV4,XLE,AWD
2024,Toyota,Corolla,Hybrid XSE,AWD
2024,Toyota,RAV4,Limited,FWD
2024,Toyota,RAV4,Limited,AWD
2024,Toyota,Corolla,XSE,FWD
2024,Toyota,Corolla,Hybrid LE,FWD
2024,Toyota,Corolla,Hybrid LE,AWD
2024,Toyota,Corolla,Hybrid SE,FWD
2024,Toyota,Corolla,Hybrid SE,AWD
2024,Toyota,Corolla,Nightshade,FWD
2024,Toyota,Crown,Platinum,AWD
2024,Toyota,Corolla,L,FWD
2024,Toyota,Corolla,Hybrid Nightshade,FWD
2024,Toyota,Corolla,Hybrid Nightshade,AWD
2024,Toyota,Corolla,Hybrid XLE,FWD
2024,Toyota,Crown,Limited,AWD
2024,Toyota,Crown,XLE,AWD
2024,Toyota,Camry,Hybrid SE,FWD
2024,Toyota,Camry,Hybrid XSE,FWD
2024,Toyota,Camry,TRD,FWD
2024,Toyota,Camry,XLE,FWD
2024,Toyota,Camry,XLE,AWD
2024,Toyota,Camry,XSE,FWD
2024,Toyota,Camry,XSE,AWD
2024,Toyota,Camry,Hybrid XLE,FWD
2024,Toyota,Camry,SE Nightshade,FWD
2024,Toyota,Camry,SE Nightshade,AWD
2024,Toyota,Camry,Hybrid SE Nightshade,FWD
2017,Ram,ProMaster City,Tradesman SLT,FWD
2017,Ram,ProMaster City,Tradesman,FWD
2017,Ram,ProMaster City,ST,FWD
2017,Ram,ProMaster City,Base,FWD
2017,INFINITI,QX30,Premium,FWD
2017,INFINITI,QX30,Premium,AWD
2017,INFINITI,QX30,Sport,FWD
2017,INFINITI,QX30,Base,FWD
2017,INFINITI,QX30,Base,AWD
2017,INFINITI,QX80,Base,RWD
2017,INFINITI,QX80,Base,AWD
2017,Ram,ProMaster City,SLT,FWD
2017,INFINITI,QX80,Limited,AWD
2024,Toyota,Corolla Cross,XLE,FWD
2024,Toyota,Corolla Cross,XLE,AWD
2024,Toyota,Corolla Cross,L,FWD
2024,Toyota,Corolla Cross,L,AWD
2024,Toyota,GR86,Premium,RWD
2024,Toyota,Corolla Cross,Hybrid S,AWD
2024,Mini,Cooper Countryman,S E ALL4,AWD
2024,Toyota,GR86,TRUENO Edition,RWD
2024,Mini,Cooper Countryman,S,FWD
2024,Toyota,GR86,Base,RWD
2024,Mini,Cooper Countryman,S ALL4,AWD
2024,Toyota,Prius AWD-e,XLE,AWD
2024,Mini,Cooper Countryman,ALL4,AWD
2024,Toyota,Prius AWD-e,LE,AWD
2024,Toyota,Corolla Cross,Hybrid XLE,AWD
2024,Toyota,Prius AWD-e,Limited,AWD
2023,Toyota,Camry,SE,FWD
2023,Toyota,Camry,SE,AWD
2023,Toyota,Camry,Hybrid LE,FWD
2023,Toyota,Prius Prime,XSE,FWD
2023,Toyota,Prius Prime,XSE Premium,FWD
2023,Toyota,Prius Prime,SE,FWD
2023,Toyota,Camry,LE,FWD
2023,Toyota,Camry,LE,AWD
2023,Toyota,Camry,Hybrid XSE,FWD
2023,Toyota,Camry,XLE,FWD
2023,Toyota,Camry,XLE,AWD
2023,Toyota,Camry,Hybrid SE,FWD
2023,Toyota,Camry,TRD,FWD
2023,Toyota,Camry,SE Nightshade,FWD
2023,Toyota,Camry,SE Nightshade,AWD
2023,Toyota,Camry,Hybrid SE Nightshade,FWD
2023,Toyota,Venza,XLE,AWD
2023,Toyota,Camry,XSE,FWD
2023,Toyota,Camry,XSE,AWD
2023,Toyota,Venza,LE,AWD
2023,Toyota,Venza,Nightshade,AWD
2023,Toyota,Venza,Limited,AWD
2024,Toyota,Corolla Cross,Hybrid LE,AWD
2024,Toyota,Corolla Cross,Hybrid XSE,AWD
2024,Toyota,Corolla Cross,LE,FWD
2024,Toyota,Corolla Cross,LE,AWD
2023,Toyota,Camry,Hybrid XLE,FWD
2024,Toyota,Corolla Cross,Hybrid SE,AWD
2024,Toyota,Prius,XLE,FWD
2024,Toyota,Prius,Limited,FWD
2024,Toyota,Prius,LE,FWD
2023,Toyota,Highlander,Platinum,FWD
2023,Toyota,Highlander,Platinum,AWD
2023,Toyota,GR Corolla,Core,AWD
2023,Toyota,Highlander,LE,FWD
2023,Toyota,Highlander,LE,AWD
2023,Toyota,Sienna,XLE,FWD
2023,Toyota,Sienna,XLE,AWD
2023,Toyota,Sequoia,Limited,RWD
2023,Toyota,Sequoia,Limited,4WD
2023,Toyota,Tundra,SR,RWD
2023,Toyota,Tundra,SR,4WD
2023,Toyota,Tundra,1794 Edition,RWD
2023,Toyota,Tundra,1794 Edition,4WD
2023,Toyota,Mirai,Limited,RWD
2023,Toyota,Tundra,SR5,RWD
2023,Toyota,Tundra,SR5,4WD
2023,Toyota,Mirai,XLE,RWD
2023,Toyota,Prius,XLE,FWD
2023,Toyota,Corolla Cross,LE,AWD
2023,Toyota,Corolla Cross,LE,FWD
2023,Toyota,Corolla Cross,XLE,FWD
2023,Toyota,Corolla Cross,XLE,AWD
2023,Toyota,Prius AWD-e,XLE,AWD
2023,Toyota,GR86,10th Anniversary Special Edition,RWD
2023,Toyota,GR86,Premium,RWD
2023,Toyota,GR86,Base,RWD
2023,Toyota,RAV4,Hybrid XLE Premium,AWD
2023,Toyota,Crown,XLE,AWD
2023,Toyota,Crown,Platinum,AWD
2023,Toyota,Corolla,L,FWD
2023,Toyota,Crown,Limited,AWD
2023,Toyota,Corolla,XSE,FWD
2023,Toyota,Corolla,Hybrid XLE,FWD
2023,Toyota,Corolla,Hybrid XLE,AWD
2023,Toyota,Corolla,SE,FWD
2023,Toyota,Corolla,Hybrid SE,FWD
2023,Toyota,Corolla,Hybrid SE,AWD
2023,Toyota,Corolla,Hybrid XSE,AWD
2023,Toyota,Corolla,Hybrid LE,FWD
2023,Toyota,Corolla,Hybrid LE,AWD
2023,Toyota,Corolla,LE,FWD
2023,Toyota,Corolla,Base,FWD
2023,Toyota,Prius AWD-e,Limited,AWD
2023,Toyota,Prius AWD-e,LE,AWD
2023,Toyota,Corolla Cross,Hybrid XSE,AWD
2023,Toyota,Corolla Cross,Hybrid SE,AWD
2023,Toyota,RAV4,Hybrid Woodland Edition,AWD
2023,Toyota,RAV4,Hybrid LE,AWD
2023,Toyota,RAV4,LE,FWD
2023,Toyota,RAV4,LE,AWD
2023,Toyota,Corolla Cross,Hybrid S,AWD
2023,Toyota,RAV4,Trail,AWD
2023,Toyota,RAV4,Hybrid XSE,AWD
2023,Toyota,RAV4,Hybrid SE,AWD
2023,Toyota,RAV4,Adventure,AWD
2023,Toyota,RAV4,TRD Off-Road,AWD
2023,Toyota,RAV4,Hybrid Limited,AWD
2023,Toyota,RAV4,XLE Premium,FWD
2023,Toyota,RAV4,XLE Premium,AWD
2023,Toyota,Corolla Cross,L,FWD
2023,Toyota,Corolla Cross,L,AWD
2023,Toyota,RAV4,XLE,FWD
2023,Toyota,RAV4,XLE,AWD
2023,Toyota,RAV4,Limited,AWD
2023,Toyota,RAV4,Limited,FWD
2023,Toyota,RAV4,Hybrid XLE,AWD
2023,Toyota,4Runner,TRD Sport,RWD
2023,Toyota,4Runner,TRD Sport,4WD
2023,Toyota,4Runner,SR5 Premium,RWD
2023,Toyota,4Runner,SR5 Premium,4WD
2023,Toyota,4Runner,TRD Off-Road Premium,4WD
2023,Toyota,4Runner,SR5,RWD
2023,Toyota,4Runner,SR5,4WD
2023,Toyota,4Runner,TRD Off-Road,4WD
2023,Toyota,4Runner,TRD Pro,4WD
2023,Toyota,4Runner,Limited,RWD
2023,Toyota,4Runner,Limited,4WD
2023,Toyota,Prius,LE,FWD
2023,Toyota,bZ4X,L,FWD
2023,Toyota,Prius,Limited,FWD
2023,Toyota,4Runner,40th Anniversary Edition,4WD
2023,Toyota,bZ4X,Limited,FWD
2023,Toyota,bZ4X,Limited,AWD
2023,Toyota,bZ4X,XLE,FWD
2023,Toyota,bZ4X,XLE,AWD
2023,Toyota,bZ4X,LE,FWD
2023,Toyota,GR Supra,Base,RWD
2023,Toyota,GR Supra,Premium,RWD
2023,Toyota,GR Supra,A91-MT Edition,RWD
2023,Toyota,Tundra,Capstone,4WD
2023,Toyota,Tundra,Limited,RWD
2023,Toyota,Tundra,Limited,4WD
2023,Toyota,Tundra,TRD Pro,4WD
2023,Toyota,Tundra,Platinum,RWD
2023,Toyota,Tundra,Platinum,4WD
2023,Toyota,Sequoia,TRD Pro,4WD
2023,Toyota,Sequoia,Capstone,RWD
2023,Toyota,Sequoia,Capstone,4WD
2023,Toyota,Sequoia,TRD Off-Road,4WD
2023,Toyota,Sequoia,SR5,RWD
2023,Toyota,Sequoia,SR5,4WD
2023,Toyota,Sienna,Woodland Edition,AWD
2023,Toyota,Sienna,Limited,FWD
2023,Toyota,Sienna,Limited,AWD
2023,Toyota,Sequoia,Platinum,RWD
2023,Toyota,Sequoia,Platinum,4WD
2023,Toyota,Sienna,Platinum,FWD
2023,Toyota,Sienna,Platinum,AWD
2023,Toyota,Sienna,XSE,FWD
2023,Toyota,Sienna,XSE,AWD
2023,Toyota,Sienna,LE,FWD
2023,Toyota,Sienna,LE,AWD
2023,Toyota,Sienna,25th Anniversary Edition,AWD
2023,Toyota,Tacoma,Trail Special Edition,4WD
2023,Toyota,Tacoma,SR,RWD
2023,Toyota,Tacoma,SR,4WD
2023,Toyota,Tacoma,TRD Sport,RWD
2023,Toyota,Tacoma,TRD Sport,4WD
2023,Toyota,Tacoma,Nightshade,4WD
2023,Toyota,Tacoma,Limited,RWD
2023,Toyota,Tacoma,Limited,4WD
2023,Toyota,Tacoma,SR5,RWD
2023,Toyota,Tacoma,SR5,4WD
2023,Toyota,Tacoma,TRD Pro,4WD
2023,Toyota,Tacoma,Base,4WD
2023,Toyota,Tacoma,TRD Off-Road,RWD
2023,Toyota,Tacoma,TRD Off-Road,4WD
2023,Toyota,Highlander,Hybrid LE,FWD
2023,Toyota,Highlander,Hybrid LE,AWD
2023,Toyota,Highlander,XLE,FWD
2023,Toyota,Highlander,XLE,AWD
2023,Toyota,Highlander,L,FWD
2023,Toyota,Highlander,L,AWD
2023,Toyota,Highlander,XSE,FWD
2023,Toyota,Highlander,XSE,AWD
2023,Toyota,Highlander,Hybrid Platinum,FWD
2023,Toyota,Highlander,Hybrid Platinum,AWD
2023,Toyota,Highlander,Hybrid XLE,FWD
2023,Toyota,Highlander,Hybrid XLE,AWD
2023,Toyota,Highlander,Hybrid Limited,FWD
2023,Toyota,Highlander,Hybrid Limited,AWD
2023,Toyota,Highlander,Limited,FWD
2023,Toyota,Highlander,Limited,AWD
2023,Toyota,Highlander,Hybrid Bronze Edition,FWD
2023,Toyota,Highlander,Hybrid Bronze Edition,AWD
2023,Toyota,GR Corolla,Circuit Edition,AWD
2023,Toyota,GR Corolla,Morizo Edition,AWD
2023,Toyota,RAV4 Prime,XSE,AWD
2023,Toyota,RAV4 Prime,SE,AWD
2020,Mini,Cooper Clubman,S ALL4,AWD
2017,Mini,Cooper Countryman,S,FWD
2017,Mini,Cooper Countryman,S ALL4,AWD
2017,Mini,Cooper Countryman,ALL4,AWD
2016,Toyota,RAV4,XLE,FWD
2016,Toyota,RAV4,XLE,AWD
2016,Toyota,Mirai,Base,FWD
2020,Mini,Cooper Clubman,S,FWD
2016,Toyota,RAV4,Limited,FWD
2016,Toyota,RAV4,Limited,AWD
2016,Toyota,Prius,Two Eco,FWD
2019,Mini,Cooper Countryman,S E ALL4,AWD
2019,Mini,Cooper Countryman,ALL4,AWD
2016,Toyota,Prius V,Two,FWD
2016,Toyota,Prius C,Persona Series,FWD
2016,Toyota,Prius C,One,FWD
2016,Toyota,Corolla,CE,FWD
2016,Toyota,Corolla,S,FWD
2016,Toyota,Sequoia,Platinum,RWD
2016,Toyota,Sequoia,Platinum,4WD
2016,Toyota,Sequoia,SR5,RWD
2016,Toyota,Sequoia,SR5,4WD
2016,Toyota,Corolla,Special Edition,FWD
2016,Toyota,Sequoia,Limited,RWD
2016,Toyota,Sequoia,Limited,4WD
2016,Toyota,Corolla,LE,FWD
2016,Toyota,Corolla,L,FWD
2016,Toyota,Corolla,LE Eco,FWD
2016,Toyota,Prius C,Technology,FWD
2016,Toyota,Prius C,Three,FWD
2016,Toyota,Prius C,Two,FWD
2016,Toyota,Prius C,Four,FWD
2016,Toyota,Prius C,Base,FWD
2019,Mini,Cooper Countryman,S ALL4,AWD
2019,Mini,Cooper Countryman,Base,FWD
2016,Toyota,Venza,AWD,AWD
2016,Toyota,Venza,Base,FWD
2019,Mini,Cooper Countryman,S,FWD
2016,Toyota,Prius V,Four,FWD
2019,Mini,Cooper Countryman,John Cooper Works ALL4,AWD
2016,Toyota,Prius V,Base,FWD
2016,Toyota,Prius V,Five,FWD
2016,Toyota,Prius V,Three,FWD
2016,Toyota,Prius,Three,FWD
2016,Toyota,Prius,Four Touring,FWD
2016,Toyota,Prius,Technology,FWD
2016,Toyota,Prius,Three Touring,FWD
2016,Toyota,Prius,Two,FWD
2016,Toyota,Prius,Four,FWD
2016,Toyota,Prius,Base,FWD
2016,Toyota,4Runner,Trail,4WD
2016,Toyota,Prius,Touring,FWD
2016,Toyota,4Runner,SR5,RWD
2016,Toyota,4Runner,SR5,4WD
2016,Toyota,4Runner,Limited,RWD
2016,Toyota,4Runner,Limited,4WD
2016,Toyota,4Runner,TRD Pro,4WD
2016,Toyota,RAV4,LE,FWD
2016,Toyota,RAV4,LE,AWD
2016,Toyota,RAV4,Hybrid Limited,AWD
2019,Mini,Cooper,S,FWD
2016,Toyota,RAV4,Hybrid XLE,AWD
2019,Mini,Cooper,John Cooper Works,FWD
2016,Toyota,Yaris,SE,FWD
2016,Toyota,Yaris,CE,FWD
2016,Toyota,Yaris,Premium,FWD
2016,Toyota,RAV4,SE,FWD
2016,Toyota,RAV4,SE,AWD
2016,Toyota,Yaris,Base,FWD
2017,Mini,Cooper Countryman,Base,FWD
2016,Toyota,Yaris,L,FWD
2016,Toyota,Yaris,LE,FWD
2019,Mini,Cooper Clubman,S ALL4,AWD
2019,Mini,Cooper,Base,FWD
2019,Mini,Cooper Clubman,S,FWD
2019,Mini,Cooper Clubman,John Cooper Works ALL4,AWD
2020,Mini,Cooper Clubman,ALL4,AWD
2019,Mini,Cooper Clubman,Base,FWD
2019,Mini,Cooper Clubman,ALL4,AWD
2020,Mini,Cooper Countryman,S E ALL4,AWD
2020,Mini,Cooper Countryman,S ALL4,AWD
