Title,Date,Content,Img_url,Detail_URL
,,,,
BELGIAN VAT COMPLIANCE OBLIGATION: DECEMBER PREPAYMENT,02/12/2019,"<div class=""article-header__content rich-text"">
<span id=""docs-internal-guid-4d623bef-7fff-4031-f33f-6b069c2b097d""></span>
<p dir=""ltr"" style=""margin-top: 0pt; margin-bottom: 0pt; text-align: justify;""><span style=""color: #000000;"">We would like to draw your attention to one of the yearly Belgian VAT compliance obligations. In Belgium, it is required to make an annual prepayment to the Belgian VAT authorities by the 24</span><span style=""color: #000000;"">th</span><span style=""color: #000000;""> of December (the so-called ‘December prepayment’). </span></p>
<span id=""docs-internal-guid-4d623bef-7fff-4031-f33f-6b069c2b097d""><br>
</span>
<p dir=""ltr"" style=""margin-top: 0pt; margin-bottom: 0pt; text-align: justify;""><span style=""color: #000000;"">The amount of the annual prepayment is determined based on the amount of Belgian VAT which becomes due during the last reporting period of 2019 (i.e. the fourth quarter or the month December of 2019). More specific, there are two methods foreseen to determine the amount of the December prepayment:</span></p>
<span id=""docs-internal-guid-4d623bef-7fff-4031-f33f-6b069c2b097d""><br>
</span>
<ol style=""margin-top: 0px; margin-bottom: 0px;"">
<li dir=""ltr"" style=""color: #000000; padding-left: 18pt; list-style-type: lower-roman;"">
<p dir=""ltr"" role=""presentation"" style=""margin-top: 0pt; margin-bottom: 0pt; text-align: justify;""><span>Actual amount of VAT due</span><span>: The Belgian VAT which became due (i.e. amount of payable VAT – amount of deductible VAT) in the period between the 1</span><span>st</span><span> of October 2019 and the 20</span><span>th</span><span> of December 2019 (quarterly VAT reporting), or the Belgian VAT which became due between the 1</span><span>st</span><span> of and 20</span><span>th</span><span> of December (monthly VAT reporting). </span></p>
</li>
</ol>
<span id=""docs-internal-guid-4d623bef-7fff-4031-f33f-6b069c2b097d""><br>
</span>
<ol style=""margin-top: 0px; margin-bottom: 0px;"">
<li dir=""ltr"" style=""color: #000000; padding-left: 18pt; list-style-type: lower-roman;"">
<p dir=""ltr"" role=""presentation"" style=""margin-top: 0pt; margin-bottom: 0pt; text-align: justify;""><span>VAT due in the previous VAT return</span><span> </span><span>(recommended method)</span><span>: To reduce the administrative burden, the Belgian VAT authorities accept that the amount of the prepayment can be the same amount as the amount of Belgian VAT which became due in the previous reporting period (i.e. the amount mentioned in box 71 of the Belgian VAT return). </span></p>
</li>
</ol>
<span id=""docs-internal-guid-4d623bef-7fff-4031-f33f-6b069c2b097d""><br>
</span>
<p dir=""ltr"" style=""margin-top: 0pt; margin-bottom: 0pt; margin-left: 18pt; padding: 0pt 0pt 0pt 36pt; text-align: justify;""><span style=""color: #000000;"">Hence, by applying this calculation method, it is possible to pay the amount paid with respect to the third quarter of 2019 (in case of quarterly reporting) or November 2019 (in case of monthly reporting). In case there was no Belgian VAT due in the previous reporting period (i.e. no amount reported in box 71, or the amount mentioned in box 71 amounted to 0), it is not required to make a prepayment to the Belgian VAT Authorities. </span></p>
<span id=""docs-internal-guid-4d623bef-7fff-4031-f33f-6b069c2b097d""><br>
</span>
<p dir=""ltr"" style=""margin-top: 0pt; margin-bottom: 0pt; text-align: justify;""><span style=""color: #000000;"">Please inform us which method you will apply to calculate the December prepayment, as it impacts the Belgian VAT reporting for the last reporting period (fourth quarter or the month December) of 2020. </span></p>
<span id=""docs-internal-guid-4d623bef-7fff-4031-f33f-6b069c2b097d""><br>
</span>
<p dir=""ltr"" style=""margin-top: 0pt; margin-bottom: 0pt; text-align: justify;""><span style=""color: #000000;"">The prepayment has to be done by the 24</span><span style=""color: #000000;"">th</span><span style=""color: #000000;""> of December at the very latest. Please note that late payment interests are due in case the Belgian VAT authorities should receive the prepayment after the 24</span><span style=""color: #000000;"">th</span><span style=""color: #000000;""> of December. </span><span style=""color: #000000;"">Hence, we would recommend to do the prepayment as soon as possible. </span></p>
<span id=""docs-internal-guid-4d623bef-7fff-4031-f33f-6b069c2b097d""><br>
</span>
<p dir=""ltr"" style=""margin-top: 0pt; margin-bottom: 0pt; text-align: justify;""><span style=""color: #000000;"">The December prepayment has to be paid to the Belgian VAT authorities, </span><span style=""color: #000000;"">using the same bank account details and mandatory payment reference</span><span style=""color: #000000;""> as in case of normal VAT payments (we refer to our earlier e-mails concerning the periodic VAT compliance obligations in this regard).</span></p>
<span id=""docs-internal-guid-4d623bef-7fff-4031-f33f-6b069c2b097d""><br>
</span>
<p dir=""ltr"" style=""margin-top: 0pt; margin-bottom: 0pt; text-align: justify;""><span style=""color: #000000;"">Please do not hesitate to contact us in case of any questions or remarks in this respect.</span></p>
<div><span style=""color: #000000;""><br>
</span></div>
</div>",https://www.crowe.com/be/spark/-/media/crowe/shared/image-library/content-images/left-to-right/ch-asset-143922498_l2r_lg.jpg?h=313&iar=0&w=556&rev=-1&hash=FD57DDB7DFB02A4C4FE57612C69A2CA9,https://www.crowe.com/be/spark/insights/decembervoorschot
Are you already prepared for the UBO register?,24/09/2018,"<div class=""article-header__content rich-text"">
<p style=""margin: 0cm 0cm 10pt;""><span style=""color: #222222;"">In implementation of the fourth European Money Laundering Directive, the UBO register was introduced in Belgium by the Anti Money Laundering Act of 18 September 2017. A Royal Decree of 30 July 2018 has now laid down the implementation modalities.</span></p>
<p style=""margin: 0cm 0cm 10pt;""><strong><em><span style=""color: #365f91;"">What is it about?</span></em></strong><strong><em><span style=""color: #365f91;""> </span></em></strong></p>
<p style=""margin: 0cm 0cm 10pt;""><span style=""color: #222222;"">The UBO register (register of 'Ultimate Beneficial Owners') must allow the identification of the final beneficiaries of:<br>
- Companies<br>
- (international) non-profit organizations and foundations<br>
- Trusts, fiduciaries or similar legal entities.<br>
In this contribution we restrict ourselves to what is important for companies.</span></p>
<p style=""margin: 0cm 0cm 10pt;""><strong><em><span style=""color: #365f91;"">Which companies?</span></em></strong></p>
<p style=""margin: 0cm 0cm 10pt;""><span style=""color: #222222;"">ALL companies incorporated in Belgium are liable to the information obligation, irrespective of their size and irrespective of whether or not they have legal personality. Within the company, it is then up to the directors to execute the obligation.</span></p>
<p style=""margin: 0cm 0cm 10pt;""><strong><em><span style=""color: #365f91;"">Who is the ultimate beneficial owner of a company?</span></em></strong></p>
<p style=""margin: 0cm 0cm 10pt;""><span style=""color: #222222;"">The beneficial owner is always a natural person. In the first instance, one looks at the <em>voting rights</em> (control) or the <em>ownership</em>.  Any natural person who directly or indirectly owns more than 25% of the voting rights or of the shares shall be deemed to be the beneficial owner.  </span></p>
<p style=""margin: 0cm 0cm 10pt;""><span style=""color: #222222;"">Then the control by <em>other means</em> such as for example a shareholders' agreement, is looked at.</span></p>
<p style=""margin: 0cm 0cm 10pt;""><span style=""color: #222222;"">Finally one arrives at the <em>managers</em> of the company (directors).</span></p>
<p style=""margin: 0cm 0cm 10pt;""><strong><em><span style=""color: #365f91;"">Which information must be communicated?</span></em></strong></p>
<p style=""margin: 0cm 0cm 10pt;""><span style=""color: #222222;"">Besides the full identity details of the beneficial owner, a number of other data must also be provided, f.e. the percentage of share ownership, date from when he became the beneficial owner, category to which he belongs, ....</span><span> </span></p>
<p style=""margin: 0cm 0cm 10pt;""><strong><em><span style=""color: #365f91;"">How this must be done?</span></em></strong></p>
<p style=""margin: 0cm 0cm 10pt;""><span>The data must be provided online via MyMinFin.</span></p>
<p style=""margin: 0cm 0cm 10pt;""><strong><em><span style=""color: #365f91;"">By when this must be done?</span></em></strong></p>
<p style=""margin: 0cm 0cm 10pt;""><span style=""color: #222222;"">Although it was originally foreseen that the data must be communicated before 30 November 2018, meanwhile an extention has been granted until March 31, 2019. Afterwards, every change must be reported within one month</span><span>.</span></p>
<p style=""margin: 0cm 0cm 10pt;""><strong><em><span style=""color: #365f91;"">Sanction</span></em></strong></p>
<p style=""margin: 0cm 0cm 10pt;""><span style=""color: #222222;"">If the obligation to provide information is not met, the company risks a fine of EUR 250 to EUR 50.000.</span></p>
<p style=""margin: 0cm 0cm 10pt;""><strong><em><span style=""color: #365f91;"">How to prepare?</span></em></strong></p>
<p style=""margin: 0cm 0cm 10pt;""><span style=""color: #222222;"">Although the Royal Decree will only enter into force on October 31, 2018, you can already be prepared by:<br>
- Making sure there is a legal representative with an e-ID or an authorized proxyholder who can enter the information on MyMinFin on behalf of the company.<br>
- Determining to which category your beneficial owners belong.<br>
- Collecting all necessary information as well as documentary evidence that the information is adequate, accurate and up-to-date.<br>
- Ensuring procedures within the company to pass on any change in the communicated information within the month to the UBO register.</span></p>
<p style=""margin: 0cm 0cm 10pt;""><strong><em><span style=""color: #365f91;"">Who has access to the data in the UBO register?</span></em></strong></p>
<p style=""margin: 0cm 0cm 10pt;""><span style=""color: #222222;"">Besides the competent services, also every private person has access to the register without having to prove a legitimate interest. The search can however only be made on the basis of a company's name or company number and not on the basis of the name of the ultimate beneficial owner.  For privacy reasons, certain personal information will not be available.</span></p>
</div>",https://www.crowe.com/be/spark/-/media/crowe/firms/europe/be/vanhuynegem-associates-spark/images/foto-ubo-register.jpg?h=371&iar=0&w=556&rev=7a11e42f21424d4182311f09698ab20f&hash=DFF2C3F94F2154D2378F27023FD57978,https://www.crowe.com/be/spark/insights/bent-u-al-voorbereid-op-het-ubo-register
,,,,
,,,,
Electronic invoicing,19/01/2024,"<div class=""article-header__content rich-text"">
<p style=""text-align: justify;""><span>Following the postponement of the introduction of mandatory <strong>electronic invoicing</strong> at the European level as part of the <strong>ViDA reforms</strong>, Belgium is implementing general mandatory electronic <strong>invoicing for B2B transactions from 1 January 2026</strong>. The move to mandatory electronic invoicing is important to reduce the VAT gap, the difference between what the government should receive in VAT revenue and what the government actually receives, and to further a reduction in the administrative burden for businesses.</span></p>
<p style=""text-align: justify;""><span> </span></p>
<p><span><strong>What are the benefits of electronic invoicing?</strong></span></p>
<ul>
<li style=""margin-left: 0cm;""><span>E-invoicing is cheaper and faster.</span></li>
<li style=""margin-left: 0cm;"">Faster invoicing results in faster payments and an improved cashflow for your company.</li>
<li style=""margin-left: 0cm;"">Incoming and outgoing invoices are recorded in the accounts immediately upon receipt or issuance of the invoices. This makes real-time accounting possible and the tool of choice to run your business.</li>
</ul>
<p style=""margin-left: 0cm;""> </p>
<p><span><strong>What impact will this change have?</strong></span></p>
<ul>
<li style=""margin-left: 0cm;""><span>Belgium has chosen to adopt the Peppol-Bis standard as its norm. An electronic PDF-format is no longer qualified as an electronic invoice ;</span></li>
<li style=""margin-left: 0cm;""><span></span>Electronic invoicing becomes mandatory for almost all taxpayers based in Belgium;</li>
<li style=""margin-left: 0cm;"">The new rules apply to local B2B transactions in Belgium. The new rules do not apply to B2C transactions. Rules on electronic invoicing already exist for B2G.</li>
</ul>
<p><span> </span></p>
<p><span><strong>Necessary actions for companies?</strong></span></p>
<p style=""text-align: justify;""><span>Although<strong> the finance minister</strong> speaks of an ample transition period during which businesses can get ready for <strong>mandatory B2B electronic invoicing</strong>, it is advisable to take the necessary steps to implement the new rules in business procedures and systems as soon as possible. Specifically, enterprises should ensure that their ERP package or invoicing tool can <strong>send, receive and process electronic invoices</strong> in the <strong>Peppol-standard</strong>. Finally, the electronic archive must ensure the readability, integrity and authenticity of the electronic data throughout th<strong>e mandatory 10-year retention period</strong>.</span></p>
<p style=""text-align: justify;""><span> </span></p>
<p><span>Crowe is ready to help you apply these new rules in your company. Reach out in case of any questions.</span></p>
</div>",https://www.crowe.com/be/spark/-/media/crowe/shared/image-library/main-images/left-to-right/ch-asset-185076988-a_l2r_main.jpg?h=244&iar=0&w=556&rev=-1&hash=E9C173C60B95748908ADCBAABA42C9A0,https://www.crowe.com/be/spark/insights/bijdrage-elektronische-facturatie
,,,,
,,,,
,,,,
VAT and immovable rent: administrative guidelines published,01/04/2019,"<div class=""article-header__content rich-text"">
<p>Since the publication and entry into force of the Law of 14 October 2018 amending the Belgian VAT Code and implementing the new optional VAT regime for immovable rent, administrative guidelines accompanying this new legislation were expected to be published.</p>
<p>In addition to the administrative notice of 9 January 2019 on the reimbursement of historical VAT as a result of the optional taxation of immovable rental, the VAT administration published a new Circular letter on 21 March 2019 (Circular letter 2019/C/25).</p>
<p><strong>Administrative notice: Reimbursement of historical VAT  as a result of the optional taxation of immovable rental.</strong></p>
<p>The new VAT option for immovable rental allows for (historical) input VAT to be deducted. As a result, for VAT that became chargeable before 1 January 2019, which in the past was often not or not fully deductable, a refund can be claimed going forward.</p>
<p>To mitigate the budgetary impact of the refund of historical VAT, the VAT authorities foresee a staggered refund. More specifically, the notice stipulates that the amount of the historically refundable VAT must be set off against the amount of VAT due as it arises periodically in the VAT returns (box 71) as from the first quarter of 2019.</p>
<p>If after this settlement an amount of historical VAT is still eligible for refund, this VAT credit is transferred to the following VAT reporting periods until no further VAT credit remains.<span style=""color: red;""> </span></p>
<p>Please note however that the amount of the VAT credit, that cannot be settled in the first eleven monthly VAT returns or the first three quarterly VAT returns of the year 2019, can be deducted (in full) in the monthly VAT return of December 2019 or the VAT return for the fourth quarter of the year 2019, regardless of the end result of these declarations.</p>
<p>Finally, and not without importance, the administration states that the VAT taxable person who wishes to reclaim historical VAT must provide the competent VAT office with an inventory of the goods and services on which he wants to reclaim historical VAT.</p>
<p><strong>Circular Letter 2019/C/25: FAQ regarding the application of the new legislation in the field of immovable rent</strong></p>
<p>In addition to the aforementioned administrative notice, the VAT administration has published a Frequently Asked Questions (FAQ) on 21 March 2019.</p>
<p>The FAQ provides an insight into the practical application of the VAT option for immovable rent. Practical guidance is given on: which type of immovable property is eligible for the new option, whether parts of immovable property can be subject to the VAT option for immovable rent, whether vacancy has an impact on the initial VAT deducted, etc. The published administrative guidelines are to a large extent in line with what became previously known through the parliamentary documents and author texts.</p>
<p>In addition, the FAQ provides guidance on the application of the mandatory application of VAT for short-term (max. six-month duration) immovable rent (which could previously also be considered VAT exempt). Practical guidance is given on: which type of short-term immovable rent is meant, how the six-month period should be calculated (e.g. in the case of successive contracts), etc.</p>
<p>Finally, the FAQ provides an explanation of the new administrative guidelines regarding the rental of storage facilities. The published administrative guidelines are on these topics also in line with what became previously known through the parliamentary documents and author texts.</p>
<span>The extensive FAQ can be found on fisconet.be. We wish you a lot of reading pleasure. Alternatively, please feel free to contact your Crowe contact person for further explanation of these new administrative guidelines.</span>
</div>",https://www.crowe.com/be/spark/-/media/crowe/shared/image-library/content-images/left-to-right/ch-asset-185076988-a_l2r_lg.jpg?h=313&iar=0&w=556&rev=-1&hash=846937EEC5BECF0B1AD8AF9157284079,https://www.crowe.com/be/spark/insights/btw-en-onroerende-verhuur
VAT in the digital age (ViDA),17/07/2023,"<div class=""article-header__content rich-text"">
<span style=""line-height: 120%;""><strong></strong></span>
<p style=""text-align: justify;""><span>The current<strong> EU VAT system for intra-EU trade</strong> is almost 30 years old and, despite some recent improvements, has not kept pace with technological advances, the digital economy, changes in business models, or globalisation. On 8 December 2022, the European Commission proposed a series of measures to modernize the EU's Value-Added Tax (VAT) system. The proposal is aimed to make VAT work better for businesses, more resilient to fraud by embracing and promoting digitalization.</span></p>
<p style=""text-align: justify;""><span>The VAT in the Digital Age package takes full advantage of technological and digital advances to deliver on an updated VAT system. In a nutshell, the European Commission has put forward proposals for:</span></p>
<p><span> </span></p>
<p><strong>1. A move to real-time digital reporting based on e-invoicing for businesses that operate cross-border in the EU and a harmonised framework for domestic transactions</strong></p>
<p style=""text-align: justify;"">The new system introduces <strong>real-time, transaction-based digital reporting</strong> for VAT purposes, based on e-invoicing. Once operational, the system will give Member States valuable information they need to <strong>control cross-border transactions and step up the fight against cross-border VAT fraud</strong>, while reducing administrative and compliance costs for businesses. To make the best use of this data for VAT control and anti-fraud purposes, Member States will also be equipped with the appropriate administrative cooperation tools.</p>
<p style=""margin-left: 36pt;""><span> </span></p>
<p><strong>2. Updated VAT rules for passenger transport and short-term accommodation platforms</strong></p>
<p style=""text-align: justify;"">Under the new rules, platform economy operators themselves will be deemed <strong>responsible for collecting VAT when service providers</strong> do not (because they are, for example, a small business not usually required to register for VAT) and for remitting this VAT to tax authorities. This, together with other clarifications, will ensure a uniform approach across all Member States and contribute to a more level playing field between online and traditional accommodation and transport services. It also makes life simpler for SMEs using the platforms as they will no longer need to understand and ensure compliance with VAT rules, often in other Member States.</p>
<p style=""margin-left: 36pt;""><span> </span></p>
<p><strong>3. The introduction of a single VAT registration across the EU</strong></p>
<p style=""text-align: justify;"">Building on the already existing ‘One Stop Shop' model for e-commerce traders, the EU Commission’s proposal will further reduce the circumstances in which businesses that want to sell to consumers in more than one Member State have to register in other Member States. With this reform, traders who operate cross-border can opt to register in only one Member State for their sales to consumers across the EU and for their transfers of goods for storage in other Member States. After registration in <strong>one Member State</strong>, they will then be able to fulfil their VAT obligations via a single online portal and interact solely with the tax administration of that Member State in one language, even though their sales are EU-wide. Smaller businesses, in particular those who want to scale-up, will benefit from the much simpler administration introduced by the new rules. The proposal also makes it mandatory for online platforms to register for the Import One Stop Shop which will further improve VAT compliance.</p>
<p style=""text-align: justify;""><span> </span></p>
<p><strong><span>Where are we now?</span></strong></p>
<p style=""text-align: justify;""><span>The ViDA  proposals are likely to have a big impact for many businesses in the European Union. Currently, the ViDA is going through the consultation and legislative process at the EU level. In this regard, the EU Finance Ministers broadly agree with ViDA proposals. However, a call to delay the proposed timetable on e-invoicing and to further consider the rules on platform reforms was raised. Some EU Member States have also raised questions on the costs of the required IT investment. In July 2023, the EU Parliament called for 2-year delay on the measures.</span></p>
<p style=""text-align: justify;""><span>A final agreement and vote on the measures, their implementation and the timeline thereof is anticipate for the <strong>ECOFIN meeting of 17 October 2023</strong>. If the current timetable for implementation is kept and the first measure being implemented as of 1 January 2024, this will mean that businesses in the EU will have little time to adapt to the new rules. Although some delays and/or transitory measures are likely, businesses should prepare for the upcoming changes under ViDA.</span></p>
<p><span> </span></p>
</div>",https://www.crowe.com/be/spark/-/media/crowe/shared/image-library/main-images/left-to-right/ch-asset-55843255_l2r_main.jpg?h=244&iar=0&w=556&rev=-1&hash=E34EDED0646B481E98285C1ECCD91E81,https://www.crowe.com/be/spark/insights/btw-in-het-digitale-tijdperk-vida
VAT deduction and refund...,25/06/2018,"<div class=""article-header__content rich-text"">
<p style=""margin: 0cm 0cm 10pt;""><span>The European Court of Justice ruled in two recent judgments that the VAT deduction respectively the VAT refund in certain cases is still possible, even if the period to exercise the right to deduct or to submit the request for refund has expired.</span></p>
<p style=""margin: 0cm 0cm 10pt;""><span>The <em>'Volkswagen' judgment</em> of March 21, 2018 concerned goods purchased by Volkswagen Germany between 2004 and 2010 in Slovakia for which in first instance no VAT was charged.  In 2010, the Slovak supplier determined that this should have been done and the VAT was still charged. Volkswagen submitted a request for refund to the Slovak tax authorities in 2011. This refund request was (partially) rejected because the legal deadline for the refund had expired for part of the invoices.</span></p>
<p style=""margin: 0cm 0cm 10pt;""><span>In the <em>'Biosafe' judgment</em> of April 12, 2018, Biosafe, a Portuguese supplier, sold goods between 2008 and 2010 to another Portuguese company and had charged a reduced VAT rate on its invoices. Afterwards, this turned out to be incorrect and the Portuguese tax authorities claimed the difference from Biosafe. Biosafe wanted to charge this amount to its customer but this last one refused to pay because the period for exercising the right to deduct had expired.</span></p>
<p style=""margin: 0cm 0cm 10pt;""><span>In both cases, VAT was thus charged too late by the supplier, making it impossible for the buyer to recuperate the VAT.</span></p>
<p style=""margin: 0cm 0cm 10pt;""><strong><em><span style=""color: rgb(0, 112, 192);"">The Court of Justice’s judgement</span></em></strong></p>
<p style=""margin: 0cm 0cm 10pt;""><span>In both cases, the Court ruled that ‘<em>it was objectively impossible for the buyer to exercise the right to a refund / right of deduction earlier on the basis of the invoices originally issued, since [...] he did not have documents correcting the original invoices nor did he know that VAT had to be paid or that an extra amount was due</em> '.</span></p>
<p style=""margin: 0cm 0cm 10pt;""><span>The Court emphasizes that:<br>
- the right to deduct / the right to a refund is a fundamental principle which guarantees the neutrality of VAT between VAT taxpayers;<br>
- the exercise of the right to deduct / the right to a refund depends on the fulfillment of material and formal conditions;<br>
- having a valid invoice is one of the formal conditions;<br>
- it is not a problem that the exercise of the VAT deduction respectively refund is subject to an expiration period in order to guarantee legal certainty.</span></p>
<p style=""margin: 0cm 0cm 10pt;""><span>Since in the present case it is only after the expiry period that the customers were aware of the (additional) VAT amount due, they could only exercise their right to deduct / refund at that moment.<br>
</span></p>
<p style=""margin: 0cm 0cm 10pt;""><span><strong><em><span style=""color: rgb(0, 112, 192);"">Conclusion</span></em></strong></span></p>
<p style=""margin: 0cm 0cm 10pt;""><span>On the basis of these judgments, it must therefore also be possible in Belgium to exercise the right to deduct VAT or the right to request a VAT refund after the expiration period in case the material and formal conditions are only fulfilled after this period.</span></p>
</div>",https://www.crowe.com/be/spark/-/media/crowe/firms/europe/be/vanhuynegem-associates-spark/images/foto-btw-aftrek-bg.jpg?h=313&iar=0&w=556&rev=dce77d733a1341c69eb36cab0b89779c&hash=1891DF850C8A94990961A9076755B57E,https://www.crowe.com/be/spark/insights/btw-aftrek
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
