Company_Name,E-mail,Website,Address,Contact,Company_Service_Type
Final Cut,michelle_c@finalcut-edit.com,www.finalcut-edit.com,"Final Cut Ltd, 3rd Floor, 13-14 Margaret Street, London, W1W  8RN",+44 (0)20 7636 1464,Editing
FORM,hello@form.london,www.form.london,,,"Editing, Production"
Goya Productions,info@goyaproductions.co.uk,www.goyaproductions.co.uk/portfolio,"45 Leys Road, Torquay, Devon, TQ26EB",,"Editing, Production"
Imagine This,toby@imaginethis.studio,www.imaginethis.studio,"103 Effingham Road, SE128NT",+44 (0)7590496305,"Editing, Stills, Music Production, VFX, Production"
Loft Films,info@loft-films.com,www.loft-films.com,"UNIT 38, 1 Emma Street, London, E2 9FP",,"Editing, Production"
Greenroom Films,film@greenroomfilms.com,www.greenroomfilms.com,"32 Maritime Street, Edinburgh, EH6 6SE",,"Editing, Production"
Marshall Street Editors,production@mse.tv,www.mse.tv,"Marshall Street Editors, 8-9 Carlisle Street, London, W1D 3BP",+44 (0)20 7434 0101,"Editing, Sound Design"
Nomad,liv@nomadedit.com,www.nomadedit.com,"Great Suffolk Yard, 127-131 Great Suffolk Street, London, SE1 1PP",020 8036 6000,"Editing, VFX"
MG Empower,gabriela@mgempower.com,mgempower.com,"37 Cremer St, London E2 8HD",+44(0)7717021450,"Editing, Stills, Production"
Meraki London,hikmat@merakiproduction.com,www.merakiproduction.com,"20 Haverstock Hill, NW3 2BL",,"Editing, Stills, Production"
Ocurens,london@ocurens.com,www.ocurens.com,,,"Editing, Stills, VFX, Production"
Posthuman,hello@posthuman.studio,posthuman.studio,"Suite 5, 5th floor, City Reach, 5 Greenwich View Place, London, E14 9NN",,"Editing, Sound Design, Music Production, Animation, Stills, VFX"
Oh My,jodie@ohmycreative.co.uk,www.ohmycreative.co.uk,"3rd Floor, Baird House, 15-17 St Cross Street, EC1N 8UW",,"Editing, Production"
Oskein,mail@oskein.com,www.oskein.com,"28-30 Coronet Street, Shoreditch, London, N1 6HD",,"Editing, Stills, Production"
Okay Studio,info@okaystudio.co.uk,okaystudio.co.uk,"18 Ashwin Street, London, E8 3DL",0207 127 0764,"Editing, VFX"
Sliced Studio,will@slicedstudio.com,www.slicedstudio.com,"F24 Parkhall, West Dulwich, London, SE21 8EN",,"Editing, Animation, VFX, Production"
Shift Post,Kirsty@shiftpost.tv,shiftpost.tv,"Studio 16, Shoreditch Works, 2-20 Scrutton Street, London, EC2A 4RJ",+44  (0) 207 459 4033,Editing
Private Island,helen@privateisland.tv,privateisland.tv,"Unit 1, 84 Teesdale St, London E2 6PU, United Kingdom",,"Editing, Animation, VFX, Production"
Stitch Editing,"angela@stitchediting.tv, alice@stitchediting.tv",www.stitchediting.tv,"STITCH, 14 Newburgh Street, London, W1F 7RT, Angela Hart, MD - angela@stitchediting.tv, Alice Clarke, EP - alice@stitchediting.tv, Maggie McDermott, Senior Producer - maggie@stitchediting.tv, Sarah Adewunmi, Junior/Homespun Producer - sarah@stitchediting.tv",020 3056 5000,Editing
Stratostorm,gio@stratostorm.com,www.stratostorm.com,"24 Wood Lane, W12 0HT",,"Editing, Animation, VFX, Production"
Studio Private,hello@studioprivate.co.uk,studioprivate.co.uk,"4B Tyssen Street, Dalston, London, E8 2FJ",+44 (0)20 7613 0495,"Editing, Stills, VFX"
Storm & Shelter,hello@stormandshelter.com,stormandshelter.com,"13 Mount Stuart Square, Cardiff, CF10 5EE",+44 (0)2920 251255,"Editing, Animation, Production"
tenthree Editing,ed@tenthree.co.uk,www.tenthree.co.uk,"tenthree Editing, 1-2 Lower James St, Soho, London, W1F 9EG",2072870842,Editing
The Assembly Rooms,info@theassemblyrooms.tv,theassemblyrooms.tv,"58 Frith Street, London, W1D 3JQ",+ 44 (0)20 7437 1052,Editing
The Quarry,tor@the-quarry.co.uk,www.the-quarry.co.uk,"5th Floor, 1 Alfred Mews, The Heals Building, Tottenham Court Road, London, W1T 7AA",020 7437 4961,Editing
Transmission,office@wearetransmission.com,www.wearetransmission.com,"124 City Road, London, EC1V 2NX",,"Editing, Sound Design, Music Production, Animation, VFX, Production"
The Berry,ryan@theberry.uk,www.theberry.uk,"Mainyard Studios, 90-94 Wallis Road, Hackney Wick, London, E9 5LN",,"Editing, Animation, VFX, Production"
The Nest Post,hello@thenestpost.co.uk,www.thenestpost.co.uk,"2-4 Sampson Street, London, E1W 1NA",+44 (0)207 480 4340,"Editing, Sound Design, VFX"
&FRIENDS!,"work@andfriends.world, community@andfriends.world",www.andfriends.world,"The Ministry, 89-91 Borough Road, London, SE1 1DN",+44 (0) 7739 305 216,"Stills, Production"
24 Productions,enquiries@24productions.co.uk,www.24productions.co.uk,"35 Lonsdale Rd, London, NW6 6RA",+44 207 637  1473,"Stills, Production"
33RED Films,"millie.ansari@thirtythree.co.uk, andy.mihov@thirtythree.co.uk",www.33redfilms.co.uk,Creating employer brands worldwide,,"Stills, Production"
2DM PRODUCTION,office@wtmedia.co.uk,2dm-production.com,"17 Amhurst Terrace, Lower Clapton, E8 2BT, London, UK",0044 749 642 6562,"Stills, Production"
A&R Creative,anita@aandrcreative.com,www.aandrcreative.com,"63-66 Hatton Gardens, London, EC1N 8LE",,"Stills, Production"
Academy Films,reception@academyfilms.com,www.academyfilms.com,"Academy Films Ltd, 16 West Central Street, London, WC1A 1JJ",+44 (0)20 7395 4155,"Stills, Production"
Amelia & Co.,amelia@ameliaandco.com,www.ameliaandco.com,"Unit 3, Albion Business Centre, 78 Albion Road, Edinburgh, EH7 5QZ",,Stills
Amplify,anita@weareamplify.com,www.weareamplify.com,"27 Paul Street, London, EC2A 4JU",+44 (0) 20 7382 6222,"Stills, Production"
AprilMay Productions,contact@aprilmay.london,www.aprilmay.london,"B112 Parkhall, 40 Martell Road, SE21 8EN, London, United Kingdom",+44 20 3189 1171,"Stills, Production"
Bellhouse,info@bellhouseltd.com,,"7 Princelet Street, E1 6QH, London, United Kingdom",+44 (0) 203 621 3980,"Stills, Production"
AWA,angela@awa.london,angelawoods.com,"4 THE CARLTON TAVERN, 73 GRAFTON ROAD, LONDON NW5 4BB",,"Stills, Production"
Camp Productions,hello@camp.productions,www.camp.productions,"75 Bernard Street, St Albans, AL3 5QL",,"Stills, Production"
BiRTH,kate@birth.tv,www.birth.tv,"10 Orange Street, Haymarket, London, UK, WC2H &DQ",+44 7970 943 464,"Stills, Production"
CANADA,london@canadacanada.com,canadacanada.com,"Unit 1, Waterside, 44-48 Wharf Road, London, N1 7UX",+44 203 371 7652,"Stills, Production"
Bite Collective,hello@bitecollective.com,bitecollective.com,"Studio A, Mica House, Barnsbury Square, London, N1 1RN",+44 (0)20 3095 5245,"Stills, Production"
Creative Blood,LONDON@CREATIVEBLOODAGENCY.COM,creativebloodagency.com,"17 Willow Street, London, EC2A 4BH",+44 (0)20 7613 2719,"Stills, Production"
Curious Productions,info@curious-productions.co.uk,www.curious-productions.co.uk,"3-4 Bakers Yard, London, EC1R 3DD",+44 (0) 203 823 1440,"Stills, VFX, Production"
Concrete Rep,georg@concreterep.com,concreterep.com,"111 – 113 ST JOHN STREET, LONDON, EC1V 4JA, UNITED KINGDOM",,"Stills, Production"
Dawn,"dawnmoretti@dawnproduction.com, dawnmoretti@dawnproduction.com",www.dawnproduction.com,,7831855541,"Stills, Production"
Forward Slash,studio@forwardslashinc.co,forwardslashinc.co,London E8,,"Stills, Production"
Formidable,info@formidable.media,formidable.media,"106-110 Kentish Town Road, London, NW1 9PX",,"Stills, Production"
Eightyseven Productions,lolly@eightysevenproductions.com,www.eightysevenproductions.com,,,Stills
Fresh Base Productions,info@fresh-base.com,www.fresh-base.com,"Yonder, 6 Hookers Road, London, E17 6DP",,"Stills, Production"
Guts and Glory Films,daniella@gutsandgloryfilms.co.uk,gutsandgloryfilms.co.uk,"Second Home, 125 - 127 Mare Street, London, E8 3SJ",+44 (0) 7964 777 119,"Stills, Production"
Good Things Happen LTD,amy@goodthingshappenltd.com,www.goodthingshappenltd.com,"PAPER MILL STUDIOS, 9 CITY GARDEN ROW, LONDON, N1 8DW",+44 (0) 207 780 7499,"Stills, Production"
Holmes Production,info@holmesproduction.com,www.holmesproduction.com,"2-3 Hanover Yard, London, N1 8YA",0207 148 0757,"Stills, Production"
INK Creative,ivana@inkcreative.com,inkcreative.com/about,"65a Camberwell Church St, London, SE5 8TR",+44 (0)7785 390 721,"Stills, Production"
Industry Art,sophie@industryart.com,www.industryart.com,"85 Essex Road, London, N1 2SF",+44 (0)20 7226 7705,"Stills, Production"
JJ Media,"enquiries@jjlocations.com, production@jjmedia.com",jjmedia.com,"17a Perseverance Works, 25-27 Hackney Road, London, E2 8DD",+44 (0)207 749 0500,"Stills, Production"
750 mph,olivia.ray@750mph.com,www.750mph.com,"750mph, 20 Golden Square, London, W1F 9JL",+44 (0)20 7534 9999,Sound Design
A-MNEMONIC,"hello@a-mnemonic.com, rob@a-mnemonic.com",www.a-mnemonic.com,"27 Lexington Street, Soho, London, W1F 9AQ",+44 (0)20 7700 7871,"Sound Design, Music Production"
Company 3,ellora.soret@company3.com,www.company3.com,"28 Chancery Lance, London, WC2A 1LB",,"Sound Design, VFX"
DLMDD,info@dlmdd.com,dlmdd.com,"79-81 Borough Road, London, SE1 1DN",+44 (0)20 3886 0975,"Sound Design, Music Production"
Factory Studios,info@factory.uk.com,www.factory.uk.com,"Factory Studios, 54/55 Margaret Street, London, W1W 8SH",0207 580 5810,Sound Design
Finger Music,clare@fingermusic.tv,www.fingermusic.tv,"Ground Floor Rear, 8 Windmill Street, London, W1T 2JE",0207 636 9987,"Sound Design, Music Production"
GuiltFree,info@guiltfreepost.com,www.guiltfreepost.com,"Dean St Studios, 59 Dean St, London, W1D 6AN",,"Sound Design, Music Production"
Jungle Studios,bookings@junglestudios.co.uk,www.junglestudios.co.uk,"143-145 Wardour Street, London, W1F 8WB",+44 (0)20 7734 2000,"Sound Design, Music Production"
Little Things,"lindsay@littlethingssoundstudios.com, chris@littlethingssoundstudios.com",www.littlethingssoundstudios.com,"Little Things An Independent Sound Studio, 1st Floor, 8–12 Broadwick Street, London, W1F 8HW",+44 (0)20 7437 5225,"Sound Design, Music Production"
Machine,rebecca@machinesound.co,www.machinesound.co,"15-19 Great Titchfield Street, 2nd Floor, W1W 8AZ",+44 (0) 20 7636 1464,"Sound Design, Music Production"
No.8,barny@no8london.com,no8london.com,"8 Portland Mews, Soho, London, W1F 8JH",+44 (0) 20 7479 4400,"Sound Design, Music Production, VFX"
Pitch & Sync,info@pitchandsync.com,pitchandsync.com,"7 Swanfield Street (Unit 1), London, E2 7DW",+ 44 (0) 20 7033 9681,"Sound Design, Music Production"
RASCAL,"james@rascalpost.com, production@rascalpost.com",rascalstudio.com,"RASCAL, 73A Leonard Street, EC2A 4QS",+ 44 (0) 20 3870 9111,"Sound Design, VFX"
Sine Audio,producers@sineaudio.tv,sineaudio.tv,"5th Floor, 14-18 Great Titchfield Street, London, W1W 8BD",,Sound Design
Studio Salamanca,scuta@studiosalamanca.com,studiosalamanca.com,"Unit 1, Eastbrook House, Brooksby’s Walk, London, E9 6FW",+44 7779 120339,"Sound Design, Music Production"
Sound Industries,info@soundindustries.com,www.soundindustries.com,"45A Brewer Street, London, W1F 9UE",,"Sound Design, Music Production"
Velvet,jess@velvet-tv.com,www.velvet-tv.com,"Suite 3.07, Arrive: Tomorrow Building, Media City UK, Salford, M50 2AB",,"Sound Design, Music Production, Animation, Editing, VFX, Stills, Production"
Virtual Sound,"production@virtualsound.co, toby@virtualsound.co",virtualsound.co,"111 Charterhouse Street, London, EC1M 6AW.",+44 (0) 203 2903 808,Sound Design
Wave Studios,production@wavestudios.co.uk,www.wavestudios.co.uk,"32 Great Pulteney Street, London, W1F 9NW",+44 (0)207 439 8080,Sound Design
UNIT,production@unit.tv,www.unit.tv,"Unit Studios, 10 Berners Mews, Fitzrovia, London W1T 3AP",+44 (0) 203 985 8600,"Sound Design, VFX"
De Wolfe Music,info@dewolfemusic.co.uk,www.dewolfemusic.com,"Queens House, 4th Floor, 180 – 182 Tottenham Court Road, London W1T 7PD",020 7631 3600,Music Production
Audio Network,office@audionetwork.com,www.audionetwork.com,"The Johnson Building, 77 Hatton Garden, London, EC1N 8JS",+44 (0)20 7566 1441,Music Production
Eclectic Sounds,cliff@eclectic.tv,www.eclectic.tv,"1A Flaxman Court, Soho, London, W1F 0AU",+44 (0)2074 943311,Music Production
Felt Music,hello@feltmusic.com,www.feltmusic.com,"75 Berwick St, Soho, London, W1F 8TG",020 7287 1233,Music Production
KO Music (Kay Oskwarek Music Co.),"andy@ko-music.com, info@ko-music.com",www.ko-music.com,,07900 958 048,Music Production
MassiveMusic,paul@massivemusic.com,massivemusic.com,"133 Curtain Road, London, EC2A 3BX",+44 (0)20 7324 7500,Music Production
Mcasso Music Production,music@mcasso.com,mcasso.com,"32-34 Great Marlborough St., London, W1F 7JB",+44 (0)20 7734 3664,Music Production
LELAND,hello@leland.co,leland.co,"6 Tremlett Mews, London, N19 5PP",,Music Production
Presence,hello@presence.team,www.presence.team,"17 GRESSE STREET, LONDON, W1T 1QL",+44 (0)20 7439 3130,"360 Video, Augmented Reality / XR, Virtual Reality, Production"
No Sheet Music,elle@nosheetmusic.tv,www.nosheetmusic.tv,"Work Life Farringdon, 120 Aldersgate St, Barbican, London, EC1A 4JQ",+44 (0) 7532764742,Music Production
RESISTER,hello@resistermusic.com,resistermusic.com,"120-124 Curtain Road, London, EC2A 3SQ",+44 (0) 7979598514,Music Production
Whitecoat,James@whitecoat.tv,www.whitecoat.tv,"Whitecoat Singapore | 2 Alexandra Rd, #07-03 Delta House | Singapore | 159919, Whitecoat London | 176a York Way | London | N1 0AZ",+44 (0)20 7287 6677,"360 Video, Augmented Reality / XR, Virtual Reality, Animation, Editing, VFX, Production"
Thirty Two,"hello@thirtytwo.tv, toby@thirtytwo.tv",thirtytwo.tv,"111 Charterhouse Street, London, EC1M 6AW",+44 (0) 203 2903 808,Music Production
Twenty Below Music,emily@twentybelowmusic.com,twentybelowmusic.com,"20 Golden Square, London, W1F 9JL",,Music Production
Warner Chappell Music,london@warnerchappellpm.com,uk.warnerchappellpm.com,"Electric Lighting Station, 46 Kensington Ct, W8 5DA",+44 (0) 207 938 5550,Music Production
Yellow Boat Music,athene@lemonadereps.com,www.yellowboatmusic.com,"59 Dean Street, London, W1D 6AN",020 7439 1272,Music Production
Wise Music Group,corinne.eady@wisemusic.com,wisemusiccreative.com/uk,"14- 15 Berners Street, London, W1T 3LJ",+44 0 20 7612 7400,Music Production
Black Kite Studios,hello@blackkitestudios.com,blackkitestudios.com,"46 Featherstone Street, London, EC1Y 8RN",020 3870 9100,VFX
A Few Good Productions,hello@afewgoodproductions.com,www.afewgoodproductions.com,"124 City Road, London, EC1V 2NX",,"VFX, Production"
Builders Club,enquiries@builders-club.com,www.builders-club.com,"Builders Club London Limited, Unit 407, Mare Street Studios, 203/213 Mare Street, London, E8 3QE",020 3744 4665,"VFX, Production"
Coffee & TV,hello@coffeeand.tv,www.coffeeand.tv,"83 Clerkenwell Road, London, EC1R 5AR",+44 (0)20 7734 3299,VFX
Daydreamer,production@daydreamervfx.com,daydreamervfx.com,"130 City Road, London, EC1V 2NW",+44 (0) 20 3838 2290,VFX
CHEAT,Production@cheatit.co,www.cheatit.co,"Arthaus Building, 199-205 Richmond Rd, London, E8 3NJ",+44 (0)20 8525 1411,VFX
ELMNTL,hello@elmntl.studio,www.elmntl.studio,"Unit 2, 123 Curtain Road, London, EC2A 3BX",,VFX
Freefolk,"production.ldn@freefolk.com, jobs.ldn@freefolk.com",www.freefolk.com,"24 Elder Street, E1 6BT",+44 (0)20 7734 9110,VFX
Glassworks,info.lon@glassworksvfx.com,www.glassworksvfx.com,"Fifth Floor, 87-91 Newman Street, London, W1T 3EY",+44 20 7434 1182,VFX
Jam VFX,production@jamvfx.co.uk,www.jamvfx.co.uk,"348 Goswell Road, London, EC1V 7LQ",0203 8198 999,VFX
Ground Control Studios,hello@thisisgroundcontrol.co.uk,thisisgroundcontrol.co.uk,"2a Corsica Street, London, N5 1JJ",,"VFX, Production"
Optical Arts,hannah@opticalarts.studio,opticalarts.studio,"52b Whitmore Road, Upper Ground / First Floor, London, N1 5QJ",+44 203 397 7738,"Animation, Stills, VFX, Production"
Partizan,jenny.beckett@partizan.com,www.partizan.com,"19 - 23 Kingsland Road, London, E2 8AA",,"Animation, Production"
PICNIC,mina@picnicstudio.tv,picnicstudio.tv,"Unit 2, 10-12 Bache's Street, LDN, N1 6DL",020 7688 9158,"Animation, VFX"
Picturesmith,hello@picturesmith.com,picturesmith.com,"4a Sheep Lane, London, E8 4QS",020 7096 3348,Animation
Red Knuckles,eps@redknuckles.co.uk,www.redknuckles.co.uk,"86 - 90 Paul Street, London, EC2A 4NE",+44 (0) 20 3889 6160,"Animation, VFX"
Revenant,"pam@revenant.tv, kev@revenant.tv",,"Studio 1&2, Ground Floor, 1061 Argyle Street, Glasgow, G3 8LZ",,"Animation, VFX, Production"
Selected Works,"alex@selectedworks.tv, sean@selectedworks.tv",selectedworks.tv,"12 De Beauvoir Block, 92-96 De Beauvoir Road, London N1 4EN",+44 (0) 20 3411 2911,"Animation, VFX"
Splash Studios,new-business@wearesplashstudios.com,www.splashworldwide.com,"Paramount Building, 206-212 St Johns Street, EC1V 4JY, London",+44 (0) 2073241420,"Animation, Production"
Studio AKA,hello@studioaka.co.uk,www.studioaka.co.uk,"56 Compton Street, Clerkenwell, London, EC1V 0ET",+44 (0) 207 490 7228,Animation
Strange Beast,info@strangebeast.tv,www.strangebeast.tv,"Strange Beast, 33-34 Rathbone Place, London, W1T 1JN",+44 (0)20 7462 0333,"Animation, Production"
The Operators,info@theoperators.net,www.theoperators.net,"White Collar Factory, 1 Old Street Yard, London, EC1Y 8AF",+44 (0)20 3119 3013,"Animation, VFX, Stills, Production"
The Mill,production@themill.com,www.themill.com,"The Mill, 11-14 Windmill St, London, W1T 2JG",+44 (0)207 287 4041,"Animation, VFX"
