Name,Location,Speciality,E-mail Address,Website,Facebook,Instagram,No. Of Products,Product 1,Product 2,Product 3,Product 4,Product 5,Product 6,Product 7,Product 8,Product 9,Product 10,Product 11,Product 12,Product 13,Product 14,Product 15,Product 16
ANDREW T LYOS MD,"9230 KATY FWY STE 420, HOUSTON, TX 77055",,info@lyosmd.com,https://www.lyosmd.com,https://www.facebook.com/lyosmd/,@lyosmd,13 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,Natrelle® Breast Implants®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,,,
Nigro Dermatology Group,"7700 SAN FELIPE ST STE 492, HOUSTON, TX 77063",DERMATOLOGY,pgalfano@nigroderm.com,https://www.nigroderm.com,https://www.facebook.com/nigroderm,@nigrodermatology,12 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,,,,
CLEAR LAKE DERMATOLOGY- LEAGUE CITY,"2508 GULF FWY S STE 110, LEAGUE CITY, TX 77573",DERMATOLOGY,aesthetics@clearlakederm.com,https://www.clearlakederm.com,https://www.facebook.com/clearlakedermatology/,@clearlakedermatology,14 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,,
WOODLANDS WELLNESS-COSMETIC CTR,"2829 TECHNOLOGY FOREST BLVD STE 140, THE WOODLANDS, TX 77381",MEDICAL_SPA,info@woodlandswellness.com,https://www.woodlandswellness.com,https://facebook.com/woodlandswellness,@woodlandswellness,11 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,CoolSculpting® Elite,,,,,
LaserAway,"4747 RESEARCH FOREST DR STE 155, THE WOODLANDS, TX 77381",,contact@laseraway.com,https://www.laseraway.com/locations/tx/woodlands/?utm_source=alle+directory&utm_medium=website+link,https://www.facebook.com/LaserAway/,@laseraway,7 Products,BOTOX® Cosmetic (onabotulinumtoxinA),LATISSE® (bimatoprost ophthalmic solution) 0.03%,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® Ultra XC,CoolSculpting®,CoolSculpting® Elite,,,,,,,,,
COLORADO SKIN AND VEIN,"195 INVERNESS DR W STE 110, ENGLEWOOD, CO 80112",,info@coloradoskinandvein.com,https://www.coloradoskinandvein.com,https://www.facebook.com/lasersurgery,@coloradoskinandvein,8 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,CoolSculpting®,CoolSculpting® Elite,,,,,,,,
STEVEN BENGELSDORF MD,"103 INTERNATIONAL DR STE 106, FRANKLIN, TN 37067",,contact@franklinlaser.com,https://www.franklinlaser.com,https://www.facebook.com/franklinskinandlaser/,@franklinskinandlaser,13 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,CoolSculpting® Elite,CoolTone®,,,
Hollywood Body Laser Center,"10111 INVERNESS MAIN ST STE D, ENGLEWOOD, CO 80112",OTHER,dominic@hollywoodbodylaser.net,https://hollywoodbodylaser.net/,https://www.facebook.com/thehollywoodbody/,@hollywoodbodylaserco/,11 Products,BOTOX® Cosmetic (onabotulinumtoxinA),LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,CoolSculpting® Elite,CoolTone®,,,,,
DIETER K SCHMIDT MD,"16410 SMOKEY POINT BLVD STE 300, ARLINGTON, WA 98223",,info@frontierdermatology.com,https://www.frontierdermatology.com,https://www.facebook.com/FrontierDermatology,@frontierdermatology,14 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,,
Park Meadows Aesthetics ,"7430 PARK MEADOWS DR STE 300, LONE TREE, CO 80124",PLASTIC_SURGERY,info@pmcsdenver.com,https://www.parkmeadowsaesthetics.com,https://www.facebook.com/parkmeadowsaesthetics.com,@parkmeadowsaesthetics,11 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,CoolSculpting® Elite,,,,,
DIETER K SCHMIDT MD,"3131 NASSAU ST STE 101, EVERETT, WA 98201",,info@frontierdermatology.com,https://www.frontierdermatology.com,https://www.facebook.com/FrontierDermatology,@frontierdermatology,14 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,,
Hollywood Body Laser Center,"1001 W 120TH AVE, WESTMINSTER, CO 80234",OTHER,dominic@hollywoodbodylaser.net,https://www.hollywoodbodylaser.net,https://www.facebook.com/thehollywoodbody/,@hollywoodbodylaserco/,11 Products,BOTOX® Cosmetic (onabotulinumtoxinA),LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,CoolSculpting® Elite,CoolTone®,,,,,
JENNIFER L REICHEL MD,"350 S 38TH CT STE 115, RENTON, WA 98055",,,,,@frontierdermatology,14 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,,
JAMES HOWTON,"3553 CLYDESDALE PKWY STE 210, LOVELAND, CO 80538",OTHER,office@restorebeauty.net,https://www.restore.me/,,@restorebeauty1,9 Products,BOTOX® Cosmetic (onabotulinumtoxinA),JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,,,,,,,
"TEN Salon, Spa, & Med Aesthetics","6045 SKY POND DR UNIT R100, LOVELAND, CO 80538",MEDICAL_SPA,accounting@tensalonandspa.com,https://tensalonandspa.com,https://www.facebook.com/TENSalonandSpa,@tenmedspa,10 Products,BOTOX® Cosmetic (onabotulinumtoxinA),LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,CoolSculpting® Elite,,,,,,
TIMOTHY ANDREW GAJEWSKI MD,"1690 30TH ST, BOULDER, CO 80301",,laura@thecocar.com,https://www.thecocar.com,,,15 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,CoolTone®,
"Allura Skin, Laser & Wellness Clinic - Loveland","1615 FOXTRAIL DR STE 190, LOVELAND, CO 80538",MEDICAL_SPA,info@alluraclinic.com,https://www.alluraclinic.com,https://facebook.com/alluraclinic,@alluraclinic,14 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,,
"PETER SCHMID DO, FAACS, FAOCOOHNS","1305 SUMNER ST UNIT 100, LONGMONT, CO 80501",PLASTIC_SURGERY,info@iaprs.com,https://www.theaestheticsurgeon.com,https://facebook.com/drpeterschmid,@drpetermschmid,12 Products,BOTOX® Cosmetic (onabotulinumtoxinA),LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,,,,
Eterna Vein & Medical Aesthetics,"1803 S MERIDIAN, PUYALLUP, WA 98371",MEDICAL_SPA,Info@EternaAesthetic.com,https://www.eternaaesthetic.com/,https://www.facebook.com/EternaMedicalAesthetics,@EternaAesthetic,11 Products,BOTOX® Cosmetic (onabotulinumtoxinA),LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,,,,,
RUSSELL JOHN YOUNG MD,"33915 1ST WAY S STE 130, FEDERAL WAY, WA 98003",,,,,@frontierdermatology,14 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,,
SIMONE ANNEMARIE INCE MD,"19917 7TH AVE NE STE 203, POULSBO, WA 98370",,,,,@frontierdermatology,14 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,,
MELANIE K KUECHLE MD,"21727 76TH AVE W STE H, EDMONDS, WA 98026",,,,,@frontierdermatology,14 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,,
LaserAway,"8433 PARK MEADOWS CENTER DR STE D147, LONE TREE, CO 80124",,contact@laseraway.com,https://www.laseraway.com/locations/co/denver-park-meadows/?utm_source=alle+directory&utm_medium=website+link,https://www.facebook.com/LaserAway/,@laseraway,7 Products,BOTOX® Cosmetic (onabotulinumtoxinA),LATISSE® (bimatoprost ophthalmic solution) 0.03%,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® Ultra XC,CoolSculpting®,CoolSculpting® Elite,,,,,,,,,
Dr Kristin Baird ,"1551 PROFESSIONAL LN UNIT 135, LONGMONT, CO 80501",DERMATOLOGY,info@dermatologyoftherockies.com,https://dermatologyoftherockies.com,https://www.facebook.com/DermatologyCenteroftheRockies,@dermoftherockies,14 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,,
Inspire Body contouring & Medical Aesthetics,"314 4TH ST STE H, CASTLE ROCK, CO 80104",MEDICAL_SPA,veronica@inspirebodycontouring.com,https://www.inspirebodycontouring.com,https://www.facebook.com/profile.php?id=100078192591946,@inspire_body_contouring,11 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,CoolSculpting® Elite,,,,,
Edmonds 100,"21701 76TH AVE W STE 100, EDMONDS, WA 98026",OTHER,kristi@pacificdermcenter.com,https://www.seattleskinandlaser.com,,@frontierdermatology,14 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,,
Frontier Dermatology Aesthetics,"15906 MILL CREEK BLVD STE 107, MILL CREEK, WA 98012",MEDICAL_SPA,aesthetics@frontierdermpartners.com,https://frontierdermatology.com,,@frontierdermatology,12 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,,,,
ModernArt MedSpa & Salon,"1620 AVIATION BLVD STE A, REDONDO BEACH, CA 90278",OTHER,info@modernartspa.com,http://www.modernartspa.com,,@modernartspa,12 Products,BOTOX® Cosmetic (onabotulinumtoxinA),DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,,,,
QUYNH SEBASTIAN MD,"1260 15TH ST STE 709, SANTA MONICA, CA 90404",,info@sebastianmd.com,https://www.sebastianmd.com,,,13 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,,,
LaserAway,"15200 W SUNSET BLVD STE 101, PACIFIC PALISADES, CA 90272",OTHER,contact@laseraway.com,https://www.laseraway.com/locations/ca/pacific-palisades/?utm_source=alle+directory&utm_medium=website+link,https://www.facebook.com/LaserAway/,@laseraway,8 Products,BOTOX® Cosmetic (onabotulinumtoxinA),LATISSE® (bimatoprost ophthalmic solution) 0.03%,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® Ultra XC,CoolSculpting®,CoolSculpting® Elite,CoolTone®,,,,,,,,
LaserAway,"1312 HERMOSA AVE, HERMOSA BEACH, CA 90254",OTHER,contact@laseraway.com,https://www.laseraway.com/locations/ca/hermosa-beach/?utm_source=alle+directory&utm_medium=website+link,https://www.facebook.com/LaserAway/,@laseraway,7 Products,BOTOX® Cosmetic (onabotulinumtoxinA),LATISSE® (bimatoprost ophthalmic solution) 0.03%,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® Ultra XC,CoolSculpting®,CoolSculpting® Elite,,,,,,,,,
KEAN B LAWLOR MD,"3216 NE 45TH PL STE 203, SEATTLE, WA 98105",,,,,@frontierdermatology,14 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,,
A DAVID RAHIMI MD,"6333 WILSHIRE BLVD STE 409, LOS ANGELES, CA 90048",,afshinrahimi@yahoo.com,https://www.foreveryoung.net,,@foreveryoungcosmeticsurgery,16 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,Natrelle® Breast Implants®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,CoolTone®
